from_totally_fake_account,to_randomly_generated_account,total_amount,frequency
1255.0,27028,224.1,41
1255.0,33313,78.5,13
1255.0,53974,45.5,7
1255.0,54559,158.5,25
1255.0,62043,7482.42,60
1255.0,6952,159.5,29
1255.0,76928,79.0,14
1255.0,78883,45.0,6
1255.0,93581,200.15,36
1258.0,100782,68.5,10
1258.0,11054,67.5,11
1258.0,21652,290.53,47
1258.0,27983,69.5,14
1258.0,31544,71.0,13
1258.0,3512,64.0,8
1258.0,36188,290.0,47
1258.0,40538,3980.6,38
1258.0,69277,103.15,17
1258.0,69695,165.0,27
1258.0,8625,44.0,7
1258.0,92258,205.5,36
1299.0,23488,84.9,16
1299.0,24658,67.0,10
1299.0,25267,193.0,31
1299.0,32166,167.8,28
1299.0,33799,217.0,39
1299.0,55374,103.5,16
1299.0,61284,220.0,36
1299.0,64966,71.0,10
1299.0,66949,4135.75,25
1299.0,6947,72.05,11
1299.0,77126,59.0,12
1299.0,81381,282.0,46
1299.0,89640,105.0,17
1299.0,93971,82.0,14
1299.0,94953,190.35,35
1299.0,97469,71.0,14
1299.0,98502,79.5,14
1304.0,17287,71.5,10
1304.0,23714,219.0,36
1304.0,36440,96.5,15
1304.0,37117,45.0,8
1304.0,43804,17.5,3
1304.0,44869,18280.0,12
1304.0,54154,39.0,6
1304.0,57286,67.0,11
1304.0,57365,46.0,9
1304.0,57562,151.78,19
1304.0,58144,175.05,32
1304.0,59362,49.0,9
1304.0,64218,75.5,13
1304.0,64800,121.5,17
1304.0,67840,25.5,5
1304.0,70342,138.0,22
1304.0,75344,114.5,18
1304.0,81738,238.8,42
1304.0,88859,47.0,8
1304.0,90683,401.35,70
1304.0,98993,178.0,27
1309.0,14590,53.0,10
1309.0,24849,23.0,4
1309.0,31468,135.45,24
1309.0,32858,17505.0,12
1309.0,33124,50.0,1
1309.0,42851,143.25,23
1309.0,42858,101.5,17
1309.0,48486,56.5,9
1309.0,5733,33.5,6
1309.0,60678,10.0,2
1309.0,67579,32.0,4
1309.0,69564,184.5,33
1309.0,75286,33.5,5
1309.0,7843,325.5,53
1309.0,79669,95.5,13
1309.0,82780,21.5,4
1309.0,96404,54.0,8
1323.0,10479,16.0,3
1323.0,16913,49.5,8
1323.0,19608,344.1,61
1323.0,2112,48.0,8
1323.0,22362,230.0,40
1323.0,28477,4342.049999999998,59
1323.0,33124,50.0,1
1323.0,39595,153.15,23
1323.0,41995,31.5,6
1323.0,43198,63.9,13
1323.0,43644,52.5,7
1323.0,6010,15.5,3
1323.0,66095,85.95,13
1323.0,7025,43.0,7
1323.0,75463,81.10000000000002,15
1323.0,93144,196.5,35
1357.0,27697,319.5300000000001,48
1357.0,41981,3831.41,50
1357.0,53181,139.2,26
1357.0,59846,152.5,25
1357.0,62608,370.78,56
1357.0,67827,70.5,11
1357.0,71368,507.46,73
1357.0,96665,428.78,62
1382.0,100618,10.5,2
1382.0,10826,336.6,62
1382.0,13417,3714.5,31
1382.0,14236,73.0,12
1382.0,20622,9.0,1
1382.0,23579,44.5,8
1382.0,23883,48.5,7
1382.0,33124,50.0,1
1382.0,48342,38.0,5
1382.0,52132,196.3,35
1382.0,59511,44.5,8
1382.0,70284,231.9,43
1382.0,7292,34.0,6
1382.0,74697,93.25,17
1382.0,83719,61.5,11
1382.0,84947,177.9,24
1382.0,96193,245.5,39
1393.0,100282,112.0,19
1393.0,100478,125.0,20
1393.0,24830,83.0,14
1393.0,28776,166.20000000000005,27
1393.0,40636,27.5,5
1393.0,42193,63.0,10
1393.0,4559,100.5,16
1393.0,4825,157.5,21
1393.0,58637,62.0,10
1393.0,64207,65.5,9
1393.0,76410,27.0,5
1393.0,94780,74.0,13
1393.0,95994,72.5,12
1399.0,100175,16470.0,12
1399.0,12782,214.1,35
1399.0,32706,131.0,21
1399.0,48810,196.5,33
1399.0,49210,80.9,12
1399.0,65108,146.35,26
1399.0,73908,158.5,25
1399.0,74374,81.15,14
1399.0,89673,248.27,41
1399.0,97030,42.5,8
1399.0,99643,203.5,26
1433.0,10126,126.9,23
1433.0,23154,8533.060000000001,68
1433.0,48031,343.0,51
1433.0,56597,56.0,10
1433.0,63490,94.5,16
1433.0,66068,99.5,16
1433.0,67260,837.44,83
1433.0,7698,74.7,12
1433.0,77162,145.5,25
1433.0,77951,147.0,25
1433.0,96219,119.5,21
1443.0,12154,50.0,10
1443.0,1458,62.5,11
1443.0,17379,27.0,5
1443.0,19928,64.55,13
1443.0,23173,58.0,10
1443.0,23668,128.0,22
1443.0,29113,55.5,9
1443.0,33124,100.0,2
1443.0,33266,20.5,3
1443.0,36269,60.5,11
1443.0,38378,211.0,32
1443.0,40254,27.0,3
1443.0,42562,290.0,49
1443.0,43700,84.5,15
1443.0,44483,172.0,26
1443.0,5057,163.5,27
1443.0,53744,100.7,20
1443.0,5796,40.5,7
1443.0,62541,60.5,8
1443.0,73036,22.0,4
1443.0,7540,21.66,3
1443.0,76295,213.4,37
1443.0,77040,9.0,1
1443.0,89683,3200.4,32
1443.0,96447,104.8,20
1460.0,22673,448.04999999999984,57
1460.0,37820,33.5,5
1460.0,39019,25.0,4
1460.0,42190,41.5,7
1460.0,43644,151.05,25
1460.0,48760,4110.76,56
1460.0,55011,272.27,30
1460.0,69103,93.45,15
1460.0,71855,19.5,3
1460.0,72576,70.5,13
1460.0,73146,69.5,12
1460.0,75463,91.15,16
1460.0,7736,45.0,7
1460.0,89984,13.5,2
1460.0,98171,37.75,8
1471.0,1799,14570.0,12
1471.0,20963,26.5,5
1471.0,2870,170.0,22
1471.0,3560,151.85000000000005,29
1471.0,36402,18.5,4
1471.0,38045,23.5,4
1471.0,38199,70.19,11
1471.0,40536,72.5,11
1471.0,47449,284.14,31
1471.0,5831,20.0,4
1471.0,63039,459.0,75
1471.0,63709,84.5,14
1471.0,70266,163.14,21
1471.0,79698,17.0,3
1471.0,80767,97.0,14
1471.0,89064,184.1,31
1471.0,89393,129.0,21
1471.0,92265,37.5,6
1471.0,93683,231.35,37
1471.0,97343,60.4,13
1487.0,14360,50.0,9
1487.0,20510,35.65,7
1487.0,26650,2240.5,29
1487.0,35982,142.0,22
1487.0,41463,103.4,18
1487.0,44885,76.0,11
1487.0,49589,116.0,20
1487.0,5215,126.5,19
1487.0,55375,45.5,8
1487.0,62777,50.0,9
1487.0,63059,114.45,20
1487.0,66742,105.5,16
1487.0,69694,125.25,20
1487.0,69747,61.5,11
1487.0,74876,160.15,29
1489.0,12555,52.4,11
1489.0,23714,4.8,2
1489.0,28557,53.0,11
1489.0,37310,57.0,9
1489.0,38201,2.25,1
1489.0,44869,16345.0,12
1489.0,54746,45.5,8
1489.0,58968,70.0,12
1489.0,67120,17.0,3
1489.0,67924,107.9,18
1489.0,75344,33.0,6
1489.0,7694,99.0,14
1489.0,84224,82.5,13
1489.0,84525,66.5,10
1489.0,95213,3.85,2
1490.0,13532,18500.0,12
1490.0,18520,185.95,30
1490.0,19761,119.4,23
1490.0,3102,164.5,29
1490.0,37618,135.5,24
1490.0,40665,128.65,25
1490.0,56124,169.0,29
1490.0,57569,290.72,42
1490.0,58292,146.5,25
1490.0,72163,142.0,24
1490.0,8104,118.0,18
1505.0,100537,121.7,19
1505.0,100708,176.5,29
1505.0,11563,5.5,1
1505.0,17580,64.45,12
1505.0,20089,6.0,1
1505.0,20717,236.89,24
1505.0,21444,2957.1600000000008,42
1505.0,33124,100.0,2
1505.0,39233,316.43,39
1505.0,42704,309.13000000000005,45
1505.0,44054,57.0,8
1505.0,54196,395.14,56
1505.0,55657,60.5,10
1505.0,57796,103.85,19
1505.0,63669,5.5,1
1505.0,70007,320.0,45
1505.0,74218,237.05,38
1505.0,83402,52.5,9
1505.0,87263,62.5,11
1507.0,12846,330.69999999999993,47
1507.0,17383,46.0,7
1507.0,27422,174.2,28
1507.0,31562,56.87000000000001,8
1507.0,32760,63.0,10
1507.0,33124,150.0,3
1507.0,42481,167.0,21
1507.0,51333,255.26,24
1507.0,61118,262.85,28
1507.0,63557,228.25,35
1507.0,64960,145.0,28
1507.0,69711,4033.29,32
1507.0,6994,36.5,7
1507.0,75761,40.0,7
1507.0,82818,235.43000000000004,25
1507.0,85734,23.5,4
1507.0,96706,51.0,9
1507.0,97097,35.0,5
1529.0,17196,26.5,4
1529.0,21476,6.15,3
1529.0,23913,38.5,7
1529.0,32413,318.63,19
1529.0,32646,58.0,9
1529.0,44730,5.05,2
1529.0,47286,26.5,12
1529.0,55306,96.0,17
1529.0,60419,5890.54,30
1529.0,68398,61.5,11
1529.0,70819,85.0,14
1529.0,75043,2.55,1
1529.0,83507,365.91,31
1529.0,88049,9.25,4
1563.0,23682,49.0,9
1563.0,2397,317.54,42
1563.0,2487,61.5,10
1563.0,33012,98.0,17
1563.0,40136,64.5,11
1563.0,41632,4894.61,47
1563.0,5063,81.5,13
1563.0,52492,67.5,11
1563.0,53985,410.07,55
1563.0,55492,62.0,11
1563.0,63111,69.5,12
1563.0,65870,120.55,22
1563.0,66662,88.25,17
1563.0,67778,294.04,34
1563.0,7023,243.9,31
1563.0,73082,95.5,16
1563.0,81605,32.5,6
1563.0,88996,84.55000000000003,16
1563.0,95953,73.0,13
1563.0,9691,58.5,10
1569.0,16941,219.5,38
1569.0,26663,38.0,5
1569.0,43966,6263.65,73
1569.0,51290,366.2000000000001,61
1569.0,5615,30.0,5
1569.0,57943,45.0,8
1569.0,71055,97.5,17
1569.0,9173,48.95,10
1569.0,92420,33.0,6
1569.0,9381,82.3,14
1572.0,1093,105.5,17
1572.0,13395,116.5,18
1572.0,35434,123.5,19
1572.0,35565,239.5,35
1572.0,37519,217.5,34
1572.0,5302,48.7,9
1572.0,56284,83.0,12
1572.0,5685,2806.0,72
1572.0,58571,103.5,18
1572.0,78663,176.85,32
1572.0,81240,81.10000000000002,17
1572.0,87054,2.25,1
1572.0,97228,101.5,15
1572.0,9900,297.2,48
1572.0,9928,35.0,6
1596.0,13853,100.0,14
1596.0,21631,71.7,13
1596.0,26395,77.0,13
1596.0,27758,83.95,14
1596.0,29136,185.0,32
1596.0,33712,43.5,7
1596.0,34232,92.5,14
1596.0,36292,317.5,53
1596.0,38707,127.95,20
1596.0,43401,190.65,32
1596.0,45887,210.0,38
1596.0,50919,97.4,17
1596.0,52338,51.5,9
1596.0,64357,145.0,24
1596.0,67983,81.0,12
1596.0,75816,76.7,14
1596.0,89487,5252.09,35
1596.0,99943,71.5,13
1607.0,100625,197.0,35
1607.0,12001,84.5,15
1607.0,16128,43.5,8
1607.0,32754,99.0,15
1607.0,33833,103.0,19
1607.0,34923,138.65,23
1607.0,35337,70.5,11
1607.0,39377,57.75,10
1607.0,51312,646.8299999999998,55
1607.0,54983,57.95,14
1607.0,57194,39.0,7
1607.0,65250,98.0,17
1607.0,66550,610.7200000000001,61
1607.0,66756,130.5,23
1607.0,85199,158.0,25
1607.0,95463,18280.0,12
1615.0,14467,16615.0,12
1615.0,30875,57.0,9
1615.0,32794,10.0,4
1615.0,37500,13.5,2
1615.0,42323,152.9,25
1615.0,52682,39.5,7
1615.0,72255,11.0,5
1615.0,72514,64.4,12
1615.0,84594,108.5,17
1615.0,87398,31.5,5
1615.0,88754,53.5,9
1615.0,9259,51.0,8
1615.0,96852,98.35,17
1615.0,9820,5.0,1
1615.0,99051,4.1,2
1622.0,100261,95.0,16
1622.0,13019,255.98,26
1622.0,24515,656.54,82
1622.0,29926,173.45,28
1622.0,31840,67.5,12
1622.0,3211,5851.44,64
1622.0,33124,50.0,1
1622.0,39518,55.0,8
1622.0,53066,312.4,26
1622.0,73944,88.0,14
1622.0,74807,90.0,16
1622.0,82692,88.0,15
1623.0,15471,17450.0,12
1623.0,15575,66.0,11
1623.0,15973,51.0,6
1623.0,25646,65.0,12
1623.0,28251,465.26,68
1623.0,30071,135.4,23
1623.0,38686,142.89,15
1623.0,40853,169.5,30
1623.0,45512,215.53,31
1623.0,52800,59.5,8
1623.0,70356,418.72,61
1623.0,74886,43.5,7
1623.0,76342,94.0,15
1623.0,83152,80.5,11
1623.0,83818,155.95,25
1623.0,95924,24.0,4
1623.0,99481,250.15,43
1631.0,16588,104.95,19
1631.0,22779,3764.65,45
1631.0,2595,117.0,19
1631.0,27649,11.0,2
1631.0,31207,86.5,15
1631.0,33124,50.0,1
1631.0,4044,282.0,45
1631.0,50741,69.75,15
1631.0,63681,89.5,15
1631.0,77147,196.0,30
1631.0,88281,62.5,10
1631.0,92301,112.65,25
1631.0,96390,243.15,38
1634.0,12805,168.0,26
1634.0,17613,161.0,24
1634.0,61656,68.5,11
1634.0,70638,414.05,74
1634.0,70691,17150.0,12
1634.0,7214,106.5,20
1634.0,86793,174.01999999999995,27
1634.0,90083,77.5,14
1634.0,9387,107.5,17
1634.0,95044,78.5,13
1639.0,16045,60.5,10
1639.0,20961,66.4,15
1639.0,23181,4661.950000000002,34
1639.0,33571,13.5,3
1639.0,41986,233.5,38
1639.0,42134,163.39999999999995,27
1639.0,44047,61.5,11
1639.0,47436,145.95,23
1639.0,50315,166.1,30
1639.0,5256,99.0,16
1639.0,62031,140.40000000000003,27
1639.0,71496,77.0,12
1639.0,78992,258.63,42
1639.0,89659,16.5,3
1639.0,91789,72.0,12
1639.0,9360,77.25,12
1642.0,13273,80.0,14
1642.0,36205,22.5,4
1642.0,40853,11256.9,35
1642.0,41067,236.9,44
1642.0,41780,64.0,10
1642.0,45265,74.0,11
1642.0,48209,35.5,6
1642.0,48936,128.0,20
1642.0,61409,72.5,11
1642.0,7564,113.0,18
1642.0,75828,39.5,7
1642.0,80801,162.5,27
1642.0,92499,112.0,19
1642.0,93116,107.0,18
1642.0,95488,98.5,16
1642.0,96710,167.64999999999995,29
1642.0,97754,72.0,13
1644.0,22554,33.15,8
1644.0,23275,53.5,11
1644.0,27046,5391.749999999999,94
1644.0,27867,423.96,57
1644.0,28288,112.5,10
1644.0,31467,237.76,30
1644.0,46226,54.0,8
1644.0,56412,147.0,24
1644.0,6031,144.5,24
1644.0,71991,47.0,6
1644.0,92813,267.95000000000005,32
1644.0,95957,118.4,21
1644.0,96861,364.74999999999983,49
1661.0,10030,227.15,30
1661.0,100727,85.5,13
1661.0,14218,56.0,10
1661.0,14270,63.0,10
1661.0,17966,39.0,5
1661.0,25083,77.5,13
1661.0,30292,89.25,16
1661.0,46551,146.95,19
1661.0,54200,177.0,28
1661.0,6151,327.35,57
1661.0,72984,55.5,10
1661.0,81729,5905.799999999998,57
1661.0,85368,164.0,29
1661.0,87545,78.0,14
1675.0,12351,96.5,15
1675.0,23961,63.5,11
1675.0,26880,85.80000000000003,19
1675.0,27207,2.45,1
1675.0,28513,1.8,1
1675.0,32205,167.5,28
1675.0,33124,50.0,1
1675.0,57171,22.85,10
1675.0,74108,75.9,13
1675.0,86772,71.94999999999997,15
1675.0,87674,179.5,27
1675.0,9499,16605.0,12
1675.0,97469,52.4,2
1689.0,100645,86.5,15
1689.0,12139,18100.0,12
1689.0,12202,4.5,1
1689.0,17555,34.5,5
1689.0,24146,57.45,11
1689.0,25586,331.82,32
1689.0,30744,85.5,13
1689.0,36556,24.5,3
1689.0,48300,103.5,16
1689.0,50006,72.5,12
1689.0,5823,96.5,15
1689.0,60091,291.03,34
1689.0,63767,56.5,10
1689.0,67060,92.85,12
1689.0,67937,111.5,18
1689.0,6809,236.65,20
1689.0,81593,39.5,8
1689.0,84863,131.60000000000002,24
1689.0,85471,27.0,5
1689.0,91134,177.25,29
1689.0,91189,355.04,35
1689.0,92229,213.0,37
1689.0,94186,42.5,7
1697.0,100583,139.15,24
1697.0,24295,249.55,32
1697.0,33124,50.0,1
1697.0,39937,19.5,3
1697.0,40136,83.03999999999998,14
1697.0,41952,67.65,11
1697.0,43441,289.95,49
1697.0,49641,93.5,16
1697.0,51095,61.5,11
1697.0,51193,90.0,14
1697.0,52658,290.0,46
1697.0,54299,576.3499999999998,63
1697.0,63143,311.12,30
1697.0,65870,289.6,48
1697.0,67778,32.5,5
1697.0,81503,125.2,20
1697.0,89603,22.0,4
1697.0,92356,142.5,17
1697.0,92506,3208.630000000001,40
1697.0,99949,41.5,8
1703.0,35256,290.3,42
1703.0,36815,94.0,14
1703.0,41463,215.35,37
1703.0,42023,50.0,9
1703.0,5215,90.5,16
1703.0,58479,3080.25,36
1703.0,59533,94.0,16
1703.0,73395,103.4,16
1703.0,80975,279.99,51
1703.0,84410,76.25,15
1703.0,84683,37.0,6
1703.0,91919,117.0,20
1703.0,92693,289.3400000000001,45
1703.0,97935,148.85,29
1715.0,15171,23.5,4
1715.0,19636,164.85,33
1715.0,21583,73.0,12
1715.0,23933,20.5,3
1715.0,27794,187.5,32
1715.0,35403,261.4,31
1715.0,50093,45.0,7
1715.0,65834,170.0,27
1715.0,67377,199.5,27
1715.0,71760,102.85,19
1715.0,7224,56.5,8
1715.0,72720,9008.5,46
1715.0,81861,55.0,9
1715.0,89600,33.5,6
1715.0,99289,21.0,4
1717.0,12738,86.0,14
1717.0,2211,81.0,13
1717.0,24043,187.83,16
