to_randomly_generated_account,total_amount
100727,849.35
100728,927.0
100735,899.05
100736,1025.16
100746,1436.46
100751,1079.1499999999999
100752,1280.8300000000002
100754,962.6
100758,8530.5
100766,939.5
100774,295.5
10078,22635.550000000003
100782,1148.55
100786,432.0
100788,1385.2500000000005
100796,8938.799999999997
100800,15655.200000000003
100803,922.5
100805,836.3999999999999
100817,1314.4
100818,1081.0
100820,21919.550000000003
100827,675.48
100832,12548.349999999999
100848,1651.95
100856,1723.1999999999998
100859,1137.5000000000002
100861,772.35
100866,1354.6000000000001
100873,1513.2000000000003
100875,1325.2299999999996
100892,1134.35
100897,1196.2600000000002
100901,566.5
100906,1701.24
100909,1421.1000000000001
10091,32979.0
10092,17247.0
100925,17442.5
100927,731.5
100931,888.3
100934,1310.5900000000001
100947,1422.1
10096,748.6599999999999
100967,1861.2600000000004
100984,24978.39
100986,2019.9400000000003
100988,1566.6000000000004
10099,14781.0
10116,552.3499999999999
10126,599.6999999999998
10130,1099.5
10134,918.15
10140,1107.4999999999998
10141,9966.829999999996
10142,1032.1999999999998
10145,1535.8000000000002
10147,352.5
10152,614.5
10156,1732.39
10165,727.39
10167,839.7499999999999
10169,8572.519999999999
10172,6271.39
10179,1296.3999999999999
1018,718.5
10180,1047.5
10192,1406.0700000000002
10197,14595.079999999993
10209,13147.9
10211,1863.3400000000004
10215,17006.05
1023,1048.8
10240,1085.37
10253,1434.8
10254,1327.15
10259,1174.3200000000002
10266,13195.05
10267,992.5
10280,935.85
10296,10268.559999999998
10300,1321.61
10302,1442.3
10314,781.0500000000001
10320,813.54
10356,1142.2999999999997
10371,639.9499999999999
10384,586.45
10386,1629.5400000000009
10389,12977.78
10394,12176.159999999996
10395,19674.870000000003
10400,1458.57
10402,776.6
10410,626.1000000000001
10420,12603.919999999998
10427,982.9499999999998
10432,358.08
10436,1096.05
10442,1069.0
10451,1120.85
10454,8108.519999999999
10464,635.0
10466,6413.2300000000005
10479,599.3
10480,1726.3500000000001
10485,1037.55
10489,1817.1800000000005
10500,23067.86
10501,12423.199999999999
10505,1229.3999999999999
10514,1263.2800000000007
10515,985.2899999999998
10520,1367.8000000000002
10521,1091.0
10525,1796.6999999999998
10526,1023.95
1053,796.8499999999999
10534,850.95
10538,1373.3700000000006
10548,119.10000000000001
1055,860.55
10571,370.7
10572,1418.0100000000004
10581,412.2499999999999
10586,1156.0099999999998
1059,1164.5600000000004
10592,1251.6600000000003
10596,1165.7
10605,1100.3
10606,582.81
10607,1175.0
1062,1186.8500000000001
10634,676.85
10636,628.1
10637,1099.55
10638,5819.629999999999
1064,1271.6999999999998
10641,17786.9
10659,10029.7
10673,909.24
10693,828.44
10694,8231.750000000004
10695,151.5
10696,1075.31
10703,2662.6099999999997
10709,1066.6
1071,1110.1
10716,438.20000000000005
10724,784.6
10727,612.35
10730,238.0
10740,1231.9800000000002
10743,12911.95
10744,1088.15
10747,121322.24999999999
10748,1099.6799999999998
10764,831.05
10765,117.5
1078,1077.5499999999997
1079,1263.7700000000004
10792,1312.53
10794,918.0200000000001
10806,1229.0
10813,635.3
10819,859.79
10821,926.74
10826,1099.3
10834,941.94
10840,1027.17
10855,16829.800000000003
1086,970.9
10864,746.3999999999999
10866,765.85
1087,1367.5000000000002
10871,8154.09
10881,365.5
10887,7886.86
10913,1224.6499999999999
10916,1454.6499999999999
10928,1297.0
1093,11703.5
10937,16327.5
10942,828.05
10944,9142.099999999999
10963,384.0
10974,1615.57
10983,4362.950000000001
1099,1863.4000000000003
11000,1428.6
11005,1704.7400000000005
11008,1322.1899999999998
11012,4124.5
11020,6137.0
11039,1303.2
11054,1234.9
11056,1441.3700000000008
11057,86715.65
11066,1023.5999999999999
11092,723.95
11096,764.1899999999998
11099,1477.7800000000002
11100,5260.4
11105,10270.0
11111,1169.1799999999998
11120,837.8
11124,886.9
1113,782.9499999999999
11131,10522.96
11133,20856.250000000004
11135,772.35
11137,14274.429999999998
11143,1161.7800000000004
11145,812.02
11151,1054.0
11156,1918.5900000000008
11163,611.5
11167,505.69999999999993
11171,1980.0400000000006
11177,1200.4
11182,1312.8099999999997
11183,572.4499999999999
11197,569.65
1120,926.6
11201,795.8
11202,1020.15
11211,1550.4600000000005
11213,1238.2700000000002
1122,509.19999999999993
11229,745.6
11230,770.5
11232,1112.05
11237,1612.5
11239,1259.25
11244,1022.55
11248,802.3000000000001
1125,1068.3500000000001
11252,11794.350000000002
11256,694.47
11261,942.65
11267,728.0
11303,1419.3500000000001
11307,832.52
11310,935.3999999999999
11314,25023.140000000018
11322,815.6499999999999
11324,1446.25
11329,17991.05
1133,840.8299999999999
11343,1359.6
11347,1112.46
11350,5580.19
11370,687.53
11379,3438.65
11382,750.4
11383,1107.5
11387,1622.9899999999996
11396,65.5
11401,717.5999999999999
11405,706.51
11406,767.81
11416,1340.0000000000002
11417,724.2999999999998
1142,659.34
11420,1020.1
11421,138.7
11426,7586.85
11431,796.1899999999999
11444,1237.89
11448,1160.07
11451,14801.020000000002
11454,953.9499999999998
11456,827.74
11458,1101.8899999999999
11460,2120.3100000000004
11464,689.1999999999999
11465,817.1999999999999
11466,740.1
11472,820.9
11475,16231.13
1149,1090.2
11494,621.5
11505,9449.750000000002
11545,263.04999999999995
11550,1272.1000000000001
11554,868.3999999999999
11559,527.7
11560,1428.4699999999998
11561,872.2000000000002
11563,1013.19
11568,744.65
11570,1914.33
11577,998.5799999999999
11582,1017.1
11584,1322.6999999999998
1159,850.6899999999999
11613,21264.319999999992
11619,275.41999999999996
11620,17084.7
11628,1611.0500000000004
11630,975.65
11636,1361.0
1164,906.0
11648,924.0500000000001
11655,280272.0
11662,2024.5200000000002
11672,1088.9
11673,941.7
11680,228.3
11683,993.8100000000001
1169,432.25
11694,331.61
11714,766.95
11722,4236.95
11729,4294.25
11730,998.3
11734,628.93
11736,11418.24
1174,1500.8100000000006
11742,17477.5
11750,24098.25
11752,5493.15
11755,659.8
11756,18501.0
11757,196.5
11762,653.7499999999999
11765,1080.66
11774,1173.9700000000003
11778,1117.35
11779,1026.0499999999997
11786,854.55
1179,1384.94
1180,829.0
11813,492.95
11821,586.8099999999998
11822,18446.0
11823,910.95
11827,18248.5
11834,1747.6700000000003
1184,983.4
1186,921.56
11872,665.5
11889,2184.34
1189,1350.2799999999997
11907,558.22
11913,866.9
11921,801.85
11926,20762.06999999999
11941,1190.3000000000002
11944,1317.2500000000005
11949,625.0999999999999
11961,581.5
11964,627.0
11965,8843.03
11971,505.45
11976,11352.249999999996
11977,2132.2800000000007
11979,348.00000000000006
11988,895.55
12001,10625.3
12002,253.0
12006,926.4399999999999
12013,1125.35
12015,1804.4900000000007
12020,894.2399999999999
12026,1689.1300000000003
12035,1225.25
12037,1939.2900000000004
12048,11081.74
12052,892.2000000000003
12060,1300.7900000000004
12061,16792.15
12069,646.9
12070,825.07
12076,225.8
12077,1186.6000000000001
12082,924.87
12092,512.3199999999999
12095,1862.2099999999998
1210,445.85
12101,559.05
12114,10735.070000000002
12122,642.0
12125,635.0
12127,1045.1999999999998
12139,67185.0
1214,24296.45
12141,964.7499999999997
12144,638.0
12148,1312.34
12154,1527.87
12160,1145.65
12162,673.5500000000001
12164,14742.880000000003
12165,7928.349999999999
1217,1607.5
12177,809.87
12179,865.0
1218,3800.0
12182,1398.6599999999999
12183,623.13
12184,1396.8000000000002
12185,11533.0
12190,12400.65
12197,115.5
12202,11184.5
12229,1291.8700000000001
12259,1081.6500000000003
12270,1995.4900000000011
12271,1786.3000000000002
12285,951.75
12290,989.5
12301,10520.529999999999
12302,8172.15
12316,1832.1399999999999
12329,951.65
1233,997.0
12332,22549.45
1234,894.4199999999998
12351,19586.4
12356,601.25
12357,2102.84
12359,1244.6
12361,545.05
12368,822.45
12378,480.24999999999994
1238,435.25
12382,1173.1
12384,804.2499999999999
12387,1012.9000000000001
12391,1585.6000000000006
12396,719.99
12403,881.1500000000001
12407,1706.2000000000005
12420,1196.5
12424,458.27
1243,10.0
12430,1168.6399999999999
12435,1153.5500000000002
12443,664.1999999999999
12453,7197.899999999998
12461,742.7
12463,20332.050000000003
12464,16046.57
12470,6097.06
12478,1359.1799999999998
1248,799.7100000000002
12501,999.4
12510,833.55
12520,708.6
12525,934.3499999999999
12542,1191.25
12543,1428.61
1255,251.65
12555,632.3
1256,1727.55
12563,1234.48
12568,399.75
1258,967.6999999999999
12585,782.92
12611,527.0
12630,11511.94
12635,926.8
12637,487.5
12649,769.6999999999999
1265,12394.300000000001
12650,8402.109999999997
12652,23239.749999999996
12658,495.7
12665,252.5
12669,1816.25
12673,1188.55
12679,1039.24
12688,881.0499999999998
1269,422.47999999999996
12692,5100.25
12695,887.3000000000001
12699,1135.9
12706,1089.58
12709,13909.15
12714,1042.0
12715,757.5999999999999
12716,13843.85
12728,76.83
12733,1407.3000000000002
12738,13605.269999999997
12740,857.6499999999999
12750,1874.0900000000004
12753,1139.5
12774,16854.609999999997
12781,1225.79
12782,10347.249999999998
12799,782.93
12800,1745.08
12805,16571.559999999998
12812,1171.5
12818,1435.4000000000008
12826,934.8399999999999
12831,11935.95
12834,9160.5
12838,531.75
12840,2060.7500000000005
12846,1341.79
12847,1275.6299999999999
1285,1188.3500000000001
12853,8632.97
12857,948.7299999999998
12870,6017.5199999999995
12872,6588.61
12873,1854.3000000000002
12885,525.1500000000001
12886,573.4
12899,14702.09
12900,1524.8600000000004
12903,2953.15
12913,762.54
12929,1073.5
12935,17418.69
12944,781.3
12947,15798.6
12950,968.75
12953,529.0
12964,7851.12
12971,1021.1499999999999
12977,498.54999999999995
12984,1132.0
12985,790.15
12988,1292.6000000000001
1299,1420.2
12993,1141.0
12995,11667.789999999999
13001,1274.8000000000002
13003,15958.55
13009,4945.959999999999
13016,1028.6099999999997
13019,1111.7800000000002
13022,1126.6500000000003
13023,1139.0
1304,13373.0
13044,1198.2400000000002
13047,1161.54
13054,1127.0
13055,491.0
13069,1255.5800000000004
13072,1476.7
1309,23500.900000000005
13100,959.3599999999996
13101,1309.5500000000002
13105,13207.8
13109,1232.4499999999998
1311,595.5
13126,666.52
13132,1014.8599999999999
13133,2676.2800000000007
13137,1801.7600000000004
13148,384.95000000000005
13152,1593.2
13160,1091.1499999999999
13165,11214.19
13174,353.65
13198,1124.23
13205,1892.3199999999997
13219,916.5999999999998
13225,2151.0099999999993
13226,1142.0
1323,1139.2199999999998
1324,1043.15
13243,996.75
13246,534.45
13252,1286.5999999999997
13270,921.5
13273,1262.25
13278,11815.24
13285,1021.3299999999999
13296,1921.4900000000005
13299,840.7399999999999
13301,360.25
13309,472053.6500000001
13311,1201.9299999999998
13319,1076.42
1332,1406.0
13326,1381.25
13344,1385.6299999999999
13357,4285.95
13372,1679.42
13375,362797.38
13383,1100.46
13389,1362.9500000000003
13392,6516.8
13393,700.9299999999998
13395,1080.7
1340,1106.45
13417,11708.0
13421,12048.169999999998
13429,910.0999999999999
13432,1217.7500000000002
13434,14086.550000000001
13453,1250.75
13458,993.3
13467,942.1
13485,831.53
13488,7832.529999999998
13495,6903.449999999999
13502,759.6
13508,1330.0
13531,1302.8
13532,345419.1000000001
13536,1042.75
13557,1032.45
1356,1062.27
1357,1189.3200000000002
13571,1443.4300000000003
13601,639.5
13609,838.88
13610,1679.0
13611,12678.35
13613,5524.0
13615,1222.9
13616,440.3999999999999
13624,1225.9499999999998
13626,855.65
13633,1378.7100000000003
13642,818.3099999999997
13677,15512.029999999999
13681,1098.05
1369,978.4999999999999
13690,1605.95
13723,790.0
13724,676.95
13736,1066.5499999999997
13738,598.5
13757,1191.4
13773,1315.3000000000004
13778,1052.05
13798,888.0999999999997
13807,1554.2999999999995
13808,8940.74
1382,938.6299999999999
13822,410.0
13824,1007.5
13851,1405.0
13853,733.0
13865,346.5
13871,1194.9
13875,940.75
13881,1563.4500000000007
13883,10478.57
13886,1490.2600000000002
1390,1170.1
13903,899.0
13904,434384.9000000001
13927,795.86
1393,954.5
13935,1563.1000000000001
13942,1227.63
13944,1115.1399999999999
13946,1738.78
13977,1609.3800000000003
1399,1487.45
13991,8960.05
13993,429.25
13998,885.1700000000001
14001,1119.72
14005,816.4
14019,1573.9600000000003
14027,22735.250000000007
14032,861.0
14036,9783.5
14040,1476.4000000000003
14056,1345.8
14069,11618.339999999991
14071,1455.6299999999997
14073,379.2
14074,1025.6499999999999
14083,847.25
14084,1121.5900000000001
14087,1676.2
14097,1296.46
1410,1384.0500000000006
14101,1299.3500000000001
14121,857.48
14124,840.9699999999998
14135,522.3499999999999
14139,1147.9
14146,1234.2199999999998
14147,957.5999999999999
14152,1300.15
14154,1564.5700000000008
14160,1802.8500000000001
14161,915.66
14167,4942.519999999999
14177,1540.02
14179,1222.71
14183,883.9499999999999
14187,1708.5400000000002
14190,1263.4
14202,1632.5
14214,15971.529999999999
14216,969.57
14218,801.2
14236,1360.3500000000001
14243,1581.0399999999997
14247,1314.0000000000002
14254,29652.95000000001
14263,1276.0499999999997
14270,420.0
14272,938.5000000000001
14277,710.5
14289,1013.0500000000002
14326,14541.099999999999
1433,597.65
14345,6241.290000000001
14358,843.8
14360,928.5
14362,1223.8
14372,1084.75
14388,929.0
14392,358.4
14410,12164.46
14415,5508.969999999999
14420,789.7499999999999
14424,18610.25
14426,1048.0
1443,901.0
1444,1085.25
14446,1521.5
14448,1402.75
14452,1167.39
14458,905.29
14460,33891.590000000004
14467,374443.25
14468,9992.580000000002
14493,12605.669999999998
14496,1843.9499999999998
14500,983.9000000000001
14502,1075.3799999999999
14506,922.9
14519,1091.1
14520,1269.5
14527,11518.05
1453,1207.8999999999999
14534,705.74
14543,929.3000000000001
14544,737.89
14547,801.1
14556,7592.059999999999
14559,9540.75
14563,892.1999999999999
14577,2074.34
1458,422.34999999999997
14582,909.15
1459,173037.14999999997
14590,1040.9
14593,928.26
14598,5391.57
1460,1146.93
14601,1765.0500000000002
14611,1413.42
14634,1266.23
14639,1227.1000000000004
14650,482.9
14662,1655.3699999999997
14673,4952.06
14685,1672.7700000000007
14692,1244.7000000000003
14697,1154.95
1471,4610.15
14715,17248.0
1472,1112.75
14724,940.0
14730,996.76
14749,1081.19
14754,1177.9799999999998
1476,861.0
14769,1091.4
14779,971.3000000000001
14785,422.17999999999995
14788,1135.2000000000003
14793,1120.91
14815,1408.2000000000003
1482,227.25
14837,1463.6800000000005
14840,768.4499999999999
14845,1206.4500000000003
14846,1380.8
14847,1232.0
14850,12103.099999999999
14865,1003.8
14867,689.0
1487,1044.9
14876,1052.97
14877,8861.249999999996
14878,5729.43
14879,7406.149999999999
1489,5287.5
14894,2040.46
14899,562.9
1490,966.7499999999999
14900,1471.6499999999999
14913,12037.699999999999
14918,18742.5
14929,1122.6999999999998
14930,1778.5
14935,725.7499999999999
14955,712.45
14970,6874.85
14980,655.4499999999999
14987,814.35
14995,641.37
15004,5645.21
15018,527.0499999999998
15032,951.0
1505,846.9000000000001
15063,21184.3
1507,1033.09
15078,1048.9499999999998
15083,1059.61
15086,1372.8399999999997
15088,752.9
15104,12979.199999999993
15129,728.4499999999999
15132,695.05
15135,1379.5
15145,1116.2999999999997
15148,1369.9199999999998
15152,734.65
15165,1197.25
15169,7486.299999999999
15171,767.0
15173,1274.5
15176,749.5
1518,588.8
15181,941.3
15184,188.0
15197,5830.959999999999
1520,12763.46
15200,686.0800000000002
15205,989.4499999999998
15210,1038.85
15214,8663.190000000002
15219,1101.81
15239,1481.76
15240,574.3
15250,12943.5
15258,20188.71999999999
15264,7924.980000000001
15265,1144.9499999999998
15266,8150.799999999999
15272,4173.3
15274,1286.2
15277,883.0899999999999
15284,1286.7
15289,764.0
1529,1120.91
15294,4493.6900000000005
15301,1364.5
15305,823.3
15315,1272.5
15317,1005.4000000000001
15320,952.3600000000001
15321,893.42
15324,1404.75
15343,440.17
15347,960.75
15350,8723.119999999999
15353,9657.430000000002
15354,1376.500000000001
15370,476.5
15377,1224.7600000000002
1538,509.5
15381,1122.5
15382,14517.640000000007
15386,9078.58
15387,12107.499999999998
15393,895.1999999999999
15396,622.8
15400,873.35
15408,1821.89
15414,10239.500000000002
15418,1303.0200000000004
15424,950.3800000000001
15429,1290.3899999999999
15431,1982.0999999999995
15438,973.84
15444,1726.69
15454,1046.55
15460,20271.45
15468,1059.7999999999997
15471,319841.15
15480,1009.2499999999999
15483,1328.0500000000002
15497,978.35
15500,511.90000000000003
15501,1282.7300000000002
15514,8516.22
15515,8011.28
15521,873.4000000000002
15533,1158.5
15538,721.3100000000001
15550,1067.87
1556,889.15
15575,747.0
15585,15797.03
15597,1746.45
15612,437.0
15613,854.0
15618,868.3
15622,25254.5
15624,702.19
15629,958.5
1563,727.5099999999999
15633,922.0999999999999
15640,4700.710000000001
15663,13117.78
1569,639.9999999999999
1570,751.15
15711,1460.4399999999998
15714,1296.2600000000004
15717,198.7
1572,966.6000000000001
15730,910.45
15737,974.5
15738,797.35
15767,10569.869999999999
15788,999.65
15789,580.65
15823,366.09999999999997
15829,1609.2500000000002
15831,1388.8600000000006
15838,721.8999999999999
15839,548.95
15867,1442.05
15880,723.3500000000001
15888,1071.1
15892,557.95
15896,1142.1500000000003
15897,1269.6200000000001
15898,941.3
15900,1454.0
15901,752.6999999999999
15908,1450.7500000000002
15911,878.5499999999998
15912,1042.9699999999998
15922,868.1500000000001
15929,2129.8200000000006
15932,716.41
15935,6065.539999999998
15938,25370.399999999998
15940,1013.1999999999997
15944,1302.3999999999999
15952,332.0
15954,11426.95
15959,15369.98
1596,975.75
15960,1081.0000000000002
15961,1090.0900000000001
15964,951.0
15969,722.8000000000001
15973,7329.07
15975,1116.8999999999999
15976,1707.0000000000002
15979,484.5
1598,743.3
15994,575.5
15998,743.9799999999999
16004,13246.44
16005,942.02
16006,12493.2
16007,518.9
16014,6752.709999999999
16015,906.0799999999999
16016,1010.0
16019,995.4
16020,1044.85
16029,12162.4
16034,737.0699999999998
16045,1229.1799999999998
16056,1199.25
16066,1646.6000000000004
1607,751.4499999999999
16070,730.5
1609,19265.53
16105,1537.7499999999998
16108,1629.1
16128,13091.359999999999
16133,13182.299999999997
16141,1015.0
1615,10039.679999999998
16155,949.3299999999999
1618,1409.6699999999998
16183,1283.0
16187,792.52
16192,866.4199999999998
16209,1249.43
1621,1428.15
16210,433.30000000000007
16211,420.46999999999997
16213,265459.94999999995
16216,11366.300000000001
16218,20511.7
1622,1387.0500000000002
1623,12587.669999999998
16234,1390.95
16246,12658.079999999998
16247,443.85
16249,756.8
16257,1266.08
16264,905.2499999999999
16265,686.48
16272,13025.93
16274,834.15
16275,1313.6200000000001
16287,754.0
16291,1495.1500000000003
16299,1118.05
1630,1667.8300000000002
16302,1042.2999999999997
16306,1184.5
16308,5499.2699999999995
1631,694.2999999999998
16318,571.2499999999999
16329,1577.0100000000002
16334,1564.0
16338,907.5
16339,738.1000000000001
1634,908.0
16341,900.77
16348,1756.9599999999998
16354,1346.5500000000004
16357,1146.63
16365,719.8799999999999
16366,751.6
16367,1253.1200000000001
1639,895.14
16392,772.4499999999999
16401,15741.749999999998
16406,875.0
16414,1006.4000000000001
16419,1345.1399999999999
1642,814.4
16425,827.8
16429,878.5
1644,2448.560000000001
16444,20323.899999999998
16453,1821.9100000000003
16464,951.4499999999999
16468,1309.74
16469,1255.4700000000003
16475,491.5
16482,1246.9
16490,1503.0299999999995
16491,691.4
16499,969.85
16503,773.05
16506,23855.510000000002
16509,652.35
16510,760.3
16523,1325.2
16524,1034.5500000000002
16532,597.0
16539,950.0000000000001
1654,968.4000000000001
16544,231.55
16546,1530.9699999999998
16570,1508.64
16584,960.0
16588,1590.3500000000004
16594,1601.8
16595,761.89
16601,1186.11
1661,1373.0999999999997
16610,1220.92
16614,474.00999999999993
16615,658.5
16616,1614.6499999999996
16625,947.8999999999999
16634,569.5
16638,1187.0
16647,1186.0
16649,1751.5700000000002
16652,1461.0
16658,1241.27
16670,1015.5
16689,1170.9499999999998
16698,4036.5899999999992
1670,902.6199999999997
16701,1204.7
16704,1224.71
16706,12000.819999999998
16709,530.75
16710,8456.249999999998
16715,851.5999999999999
16724,1863.8600000000001
16726,1037.55
1673,1067.99
16731,1722.67
16739,1357.05
16742,18543.91
16744,1413.3899999999999
1675,3956.64
16751,1485.88
16753,1485.0
16779,849.35
16783,18998.5
16784,1162.3
16798,6119.799999999999
16801,1010.75
16802,979.8
16803,1149.65
16804,1150.4
16817,1387.6100000000004
16826,1427.26
16830,1187.28
16832,1404.9
16834,1405.3
16836,1288.3500000000001
16843,1427.1000000000001
16859,784.02
16870,1008.1500000000001
16875,17602.9
16882,691.6
1689,14332.519999999999
16902,1074.9499999999998
16907,417.74999999999994
16913,730.3
16914,803.2900000000001
16917,1453.29
16918,835.65
16928,1220.3999999999996
16941,721.5
16944,1381.69
16948,248937.80000000002
16952,880.6000000000001
16954,1399.1599999999999
16958,5858.25
16963,861.9499999999999
1697,1863.660000000001
16972,1018.25
16977,852.8499999999999
1698,1101.22
16986,1156.67
16993,1818.4200000000005
16997,290.0
17004,982.7
17014,915.0300000000001
17016,859.3199999999998
17021,1051.6
17022,17279.609999999997
17024,808.6
17025,1925.2400000000002
17027,609.35
1703,1960.2299999999998
17034,1256.8999999999999
17039,1466.28
17041,513.4999999999999
17048,860.5
17052,634.6999999999999
17056,16791.010000000002
17057,9336.7
17058,755.4
17081,3634.0
17087,609.6500000000001
17089,21961.740000000005
17097,1108.58
17098,689.9700000000001
17101,1131.4000000000003
17108,21077.5
17117,1683.0000000000002
17127,1191.0
17128,10854.5
17130,948.95
17137,792.6099999999999
17140,740.91
17143,816.0
1715,1147.45
17151,4592.0
17152,956.8499999999999
17155,1382.07
17158,1018.3099999999997
17161,1520.8299999999986
17163,1561.77
17169,943.05
1717,5716.049999999999
1718,1115.5
17181,947.65
17185,1661.7700000000002
17191,853.0999999999999
17195,1522.7700000000002
17196,968.0
17210,1550.4499999999998
17213,592.64
17224,14894.409999999998
17225,6071.09
17228,1119.0499999999997
17231,1100.5
17243,943.6500000000001
1725,831.4999999999999
17256,867.61
17259,24830.03999999999
17267,713.9699999999999
17276,937.0
17287,1104.45
17291,16940.2
17294,18380.8
1730,848.5599999999998
17300,901.9799999999999
17307,969.6099999999998
1731,519.63
17310,1990.2300000000012
17311,16198.95
17316,1178.46
17323,413.5
17328,1557.94
17353,534.3499999999999
1736,887.4499999999999
17360,1003.3
17377,1566.4000000000005
17379,23318.51
17382,1126.65
17383,1767.110000000001
17397,2212.32
17398,21546.530000000002
17401,784.0
17411,1061.2
17413,1412.3499999999997
17419,16419.399999999998
17424,490.09999999999997
17427,976.25
17434,1011.45
17443,9490.049999999994
17467,1189.05
17469,613.0
17479,8533.879999999996
17480,1006.0
17484,309.20000000000005
17487,388.45
17526,1201.9
17527,1605.1300000000003
17528,612.5
17539,890.9300000000001
1754,1758.8300000000002
17545,869.9
17547,11026.49
17548,1182.1
17552,909.26
17555,7028.059999999998
17569,1605.0400000000004
1757,756.0
17573,950.7999999999997
17575,8658.5
17580,2480.3900000000012
17582,870.1100000000001
17602,12338.65
17608,1257.1
17613,7175.4
17622,2097.1300000000006
17624,1311.4500000000003
17625,10119.67
17643,989.3799999999999
17646,9295.83
17647,1310.53
17662,550.9000000000001
17664,806.5
17665,1586.9
17669,1094.09
17670,978.7
17673,11902.609999999999
17679,610.15
17682,880.3999999999999
17691,1143.29
1770,12349.42
17707,942.0999999999999
1771,1993.3300000000002
17717,1208.5599999999997
17723,1201.35
17726,1745.24
17729,849.23
17730,835.14
17735,1031.2
17741,1040.6299999999999
17744,1489.75
17750,7139.35
17756,5322.819999999999
17758,1270.8500000000001
17761,797.71
17763,1047.0599999999995
17765,785.8100000000001
17769,306260.85000000003
1777,995.5
17773,724.0
17781,930.1099999999998
17788,1580.3000000000002
17794,1042.9
17800,16120.74
17813,15333.849999999999
17827,7907.9
17830,1374.15
17836,1080.6799999999998
1784,794.5
17843,890.7
17844,928.31
17852,423033.6500000001
17857,1784.8899999999999
1786,1235.9499999999998
17884,722.1999999999999
17897,1331.3500000000001
17905,993.55
17919,393.5
17920,985.2499999999999
17929,1333.43
1793,868.65
17938,1330.4
17943,803.0
17944,1117.15
17946,723.6499999999999
17947,1134.9099999999999
17966,1403.8500000000001
17975,1894.8500000000001
17977,1044.8700000000001
17980,1220.0
1799,299414.5
1800,1233.8499999999997
18013,14738.359999999997
18015,1372.15
18035,1168.55
18041,1143.5
18057,1370.55
18058,4924.1
1806,10612.65
18061,1207.55
18075,2105.7700000000004
1808,996.0
18104,1392.6299999999999
18105,991.3
18107,1305.5900000000001
18114,885.0
18116,993.5600000000001
1812,22914.780000000002
18120,1233.93
18124,1531.4000000000003
1813,1312.8999999999999
18134,1065.6999999999998
18142,5698.48
1815,774.4
18153,406.9200000000001
18161,742.57
18164,1066.74
18168,1203.4
18173,1143.82
18179,741.3
18195,1323.9500000000003
18197,1389.3000000000002
18199,704.0100000000001
18208,16761.570000000007
18213,2003.38
18219,749.8
18228,584.75
1823,23370.67000000003
1824,1292.6
18252,1008.0
18264,987.4499999999999
1827,1773.72
18275,667.6999999999999
1828,1362.27
18289,486.5
18311,9.649999999999999
18316,13360.049999999996
18328,19069.65
1833,9705.5
18345,348.7
1835,858.1
18351,709.1
18353,911.0
18358,1197.25
18364,774.5
18365,804.5
18369,1042.7000000000003
18371,592.82
1838,760.1
18391,765.15
18399,918.79
18402,16991.050000000003
18405,1176.47
18410,5554.33
18430,1282.13
18438,1353.24
18454,784.9
1847,1359.68
18472,16990.100000000006
18473,1249.05
