to_randomly_generated_account,frequency,monetary,recency
10500,25,1960.5,0.0
10501,32,2069.72,1.0
10505,28,156.2,6.0
10514,22,141.85,0.0
10515,23,141.5,0.0
10520,15,88.5,5.0
10521,20,127.0,0.0
10525,33,197.0,0.0
10526,13,88.0,0.0
1053,11,61.05,2.0
10534,16,114.5,0.0
10538,16,94.6,1.0
10548,2,8.75,6.0
1055,16,95.05,0.0
10571,14,82.0,0.0
10572,17,97.5,5.0
10581,11,70.15,0.0
10586,18,124.0,0.0
1059,15,107.66,0.0
10592,14,140.57,6.0
10596,13,72.55,7.0
10605,18,106.5,1.0
10606,9,53.5,2.0
10607,21,119.0,3.0
1062,21,130.1,0.0
10634,8,101.8,0.0
10636,10,53.5,7.0
10637,15,96.75,0.0
10638,17,466.85,3.0
1064,22,126.5,0.0
10641,31,1572.8,0.0
10659,12,813.45,5.0
10673,10,57.5,2.0
10693,11,60.5,5.0
10694,31,749.18,1.0
10696,24,157.63,1.0
10703,36,214.9,0.0
10709,16,94.85,0.0
1071,20,124.0,0.0
10716,5,26.25,20.0
10724,16,92.5,5.0
10727,13,74.0,1.0
10730,4,36.0,0.0
10740,16,102.5,0.0
10743,40,2123.95,5.0
10744,16,84.9,2.0
10747,35,11532.0,2.0
10748,21,136.4,0.0
10764,13,79.0,3.0
1078,23,129.45,0.0
1079,20,146.85,5.0
10792,21,142.2,0.0
10794,9,103.46,11.0
10806,35,194.0,5.0
10813,9,60.0,0.0
10819,7,43.5,2.0
10821,10,71.97,3.0
10826,35,213.45,1.0
10834,14,109.42,0.0
10840,20,122.0,0.0
10855,24,1427.65,10.0
1086,15,98.0,4.0
10864,16,89.95,0.0
10866,10,63.9,8.0
1087,16,86.5,6.0
10871,20,684.46,1.0
10881,5,26.0,0.0
10887,9,605.5,1.0
10913,13,83.65,5.0
10916,32,200.6,0.0
10928,27,149.0,0.0
1093,12,969.5,5.0
10937,24,2628.95,0.0
10942,15,77.4,2.0
10944,14,753.5,1.0
10963,1,6.5,
10974,23,203.86,1.0
10983,12,359.25,8.0
1099,24,161.3,0.0
11000,22,129.65,0.0
11005,22,165.76,0.0
11008,15,84.5,0.0
11012,20,399.75,0.0
11020,8,972.5,18.0
11039,28,174.15,0.0
11054,19,127.5,5.0
11056,38,267.47,0.0
11057,17,8809.5,2.0
11066,18,102.85,5.0
11092,17,103.25,0.0
11096,15,87.45,1.0
11099,22,114.0,0.0
11100,8,408.5,5.0
11105,32,1699.5,0.0
11111,24,161.0,6.0
11120,14,78.0,0.0
11124,14,87.0,12.0
1113,17,99.45,1.0
11131,24,976.6099999999999,0.0
11133,28,1790.5,0.0
11135,20,128.0,0.0
11137,34,1274.94,0.0
11143,16,88.55,6.0
11145,15,96.08,8.0
11151,24,138.3,1.0
11156,28,241.57,0.0
11163,11,59.5,0.0
11167,10,51.45,12.0
11171,38,222.53,0.0
11177,14,95.5,3.0
11182,21,138.5,0.0
11183,8,49.5,4.0
11197,15,91.65,0.0
1120,16,89.0,6.0
11201,13,74.5,3.0
11202,23,118.05,3.0
11211,21,177.45,1.0
11213,19,114.6,1.0
1122,4,22.5,5.0
11229,15,99.0,3.0
11230,11,89.0,0.0
11232,14,74.25,1.0
11237,25,133.0,0.0
11239,22,131.55,1.0
11244,20,130.0,0.0
11248,13,69.5,0.0
1125,9,51.5,0.0
11252,11,959.55,15.0
11256,12,62.0,0.0
11261,15,81.5,6.0
11267,22,120.5,0.0
11303,19,107.5,4.0
11307,13,92.52,6.0
11310,20,123.5,1.0
11314,31,2106.04,5.0
11322,9,48.0,0.0
11324,21,131.0,0.0
11329,30,1543.65,0.0
1133,11,61.0,8.0
11343,24,143.0,0.0
11347,17,101.5,6.0
11350,4,443.8,6.0
11370,8,58.49,0.0
11379,16,324.0,5.0
11382,15,88.0,1.0
11383,29,158.0,0.0
11387,28,257.24,3.0
11396,3,13.5,0.0
11401,13,76.6,0.0
11405,14,83.0,0.0
11406,18,107.5,0.0
11416,21,121.5,0.0
11417,4,29.5,3.0
1142,10,71.31,0.0
11420,25,140.0,0.0
11421,1,4.5,
11426,22,1216.0,0.0
11431,19,109.4,0.0
11444,26,149.25,5.0
11448,28,175.67,0.0
11451,20,1194.16,2.0
11454,21,117.3,0.0
11456,14,76.5,6.0
11458,21,132.9,5.0
11460,30,168.75,5.0
11464,10,55.5,6.0
11465,11,67.5,12.0
11466,9,58.5,7.0
11472,15,87.4,0.0
11475,28,2591.4,1.0
1149,11,58.45,8.0
11494,12,68.0,0.0
11505,24,823.4,5.0
11545,3,10.65,1.0
11550,27,149.65,0.0
11554,16,84.65,7.0
11559,10,68.31,0.0
11560,17,107.22,0.0
11561,17,92.2,0.0
11563,15,83.8,0.0
11568,7,46.0,7.0
11570,34,300.11,6.0
11577,9,51.5,8.0
11582,18,93.75,0.0
11584,25,159.5,12.0
1159,10,54.85,3.0
11613,24,3434.5199999999995,0.0
11619,5,27.0,4.0
11620,20,2733.3,3.0
11628,30,169.25,5.0
11630,13,77.5,1.0
11636,25,141.5,0.0
1164,17,96.0,0.0
11648,15,107.0,6.0
11655,42,30233.0,0.0
11662,23,153.36,5.0
11672,15,95.0,0.0
11673,26,134.5,1.0
11680,1,5.0,
11683,9,77.03999999999999,2.0
1169,5,23.05,5.0
11694,4,21.5,8.0
11714,17,94.5,0.0
11722,5,353.0,14.0
11729,13,364.0,0.0
11730,25,146.6,6.0
11734,6,41.0,27.0
11736,23,1003.74,5.0
1174,14,80.5,0.0
11742,16,1480.0,7.0
11750,15,1955.5,2.0
11752,4,435.0,5.0
11755,10,57.0,7.0
11756,22,1522.85,4.0
11757,3,22.5,19.0
11762,11,69.65,5.0
11765,29,155.5,0.0
11774,16,89.45,0.0
11778,20,111.5,0.0
11779,29,164.05,2.0
11786,8,49.0,5.0
1179,33,198.4,0.0
1180,13,71.5,2.0
11813,7,41.0,0.0
11821,24,137.1,1.0
11822,13,1535.0,2.0
11823,12,60.5,0.0
11827,22,1520.05,1.0
11834,21,131.07,0.0
1184,9,53.5,2.0
1186,25,140.4,5.0
11872,12,77.0,0.0
11889,32,209.0,6.0
1189,25,202.5,0.0
11907,4,31.77,7.0
11913,18,104.65,0.0
11921,16,89.45,0.0
11926,33,3444.0199999999995,0.0
11941,19,111.5,2.0
11944,22,122.95,0.0
11949,9,45.55,0.0
11961,11,65.0,0.0
11964,16,110.0,0.0
11965,18,752.5,0.0
11971,9,65.8,0.0
11976,25,1007.8,2.0
11977,43,274.12,1.0
11979,3,15.55,9.0
11988,13,75.9,6.0
12001,28,943.15,6.0
12002,9,44.5,5.0
12006,14,86.5,5.0
12013,8,47.5,13.0
12015,24,176.67000000000002,0.0
12020,15,105.0,0.0
12026,29,188.26,3.0
12035,20,116.5,2.0
12037,28,205.16,0.0
12048,12,925.5,5.0
12052,17,104.5,2.0
12060,19,99.35,1.0
12061,25,1440.0,3.0
12069,13,82.25,0.0
12070,11,70.15,0.0
12076,5,33.0,14.0
12077,20,122.0,1.0
12082,21,117.5,5.0
12092,13,76.57,3.0
12095,28,229.81,1.0
1210,8,43.5,0.0
12101,15,80.15,0.0
12114,13,1608.6,0.0
12122,7,45.5,15.0
12125,13,67.45,1.0
12127,15,87.55,8.0
12139,21,6840.0,4.0
1214,19,3940.1,1.0
12141,27,140.45,0.0
12144,10,58.5,14.0
12148,19,101.0,2.0
12154,22,150.57,4.0
12160,9,40.6,8.0
12162,17,81.35,0.0
12164,14,1212.16,7.0
12165,24,1208.5,6.0
1217,27,162.5,0.0
12177,7,39.5,0.0
12179,17,98.5,9.0
1218,7,312.0,0.0
12182,18,157.79,6.0
12183,6,36.5,1.0
12184,13,77.0,0.0
12185,19,1851.5,2.0
12190,16,1026.44,9.0
12197,2,11.0,0.0
12202,29,1754.5,3.0
12229,12,97.00999999999999,0.0
12259,13,66.15,0.0
12270,35,170.65,0.0
12271,27,152.0,0.0
12285,8,57.0,6.0
12290,18,109.5,1.0
12301,15,1649.0,0.0
12302,19,1307.0,0.0
12316,28,157.0,0.0
12329,17,103.0,3.0
1233,24,149.0,0.0
12332,25,1859.0,2.0
1234,13,79.5,0.0
12351,10,1638.5,5.0
12356,17,93.5,3.0
12357,25,202.36,0.0
12359,22,152.5,0.0
12361,5,27.5,0.0
12368,21,134.22,1.0
12378,9,70.0,0.0
1238,7,48.0,0.0
12382,20,132.5,0.0
12384,13,71.8,4.0
12387,18,116.0,2.0
12391,27,229.07,5.0
12396,20,134.0,0.0
12403,7,39.0,12.0
12407,23,135.7,2.0
12420,19,117.0,1.0
12424,3,17.21,14.0
12430,15,90.27,5.0
12435,28,174.55,5.0
12443,4,20.3,6.0
12453,29,672.5,1.0
12461,16,100.0,1.0
12463,29,1720.35,5.0
12464,26,2559.75,1.0
12470,28,993.84,3.0
12478,21,220.01,2.0
1248,19,115.28999999999999,5.0
12501,17,89.0,5.0
12510,17,103.9,1.0
12520,11,62.0,0.0
12525,4,22.0,4.0
12542,15,85.5,6.0
12543,19,126.0,0.0
1255,4,22.0,18.0
12555,4,23.0,0.0
1256,25,146.4,0.0
12563,11,98.13,5.0
12568,8,49.0,6.0
1258,13,77.5,6.0
12585,15,82.0,0.0
12611,7,37.95,0.0
12630,24,1795.5,2.0
12635,18,108.9,4.0
12637,1,5.0,
12649,19,136.2,5.0
1265,26,1051.5,0.0
12650,27,1400.19,2.0
12652,25,1922.45,2.0
12658,16,89.5,0.0
12665,3,19.0,2.0
12669,27,160.0,0.0
12673,22,132.0,4.0
12679,25,167.0,6.0
12688,19,112.6,4.0
1269,7,46.5,12.0
12692,6,398.5,14.0
12695,15,98.0,0.0
12699,15,86.0,2.0
12706,17,111.0,0.0
12709,19,1153.0,4.0
12714,17,117.0,1.0
12715,17,91.45,0.0
12716,29,1238.86,0.0
12733,24,123.10000000000001,5.0
12738,29,2161.0,1.0
12740,21,99.45,3.0
12750,19,216.45,0.0
12753,12,79.5,0.0
12774,41,1482.69,0.0
12781,26,155.0,0.0
12782,15,1642.15,2.0
12799,12,72.5,7.0
12800,38,253.86,0.0
12805,25,1380.5,5.0
12812,23,124.15,4.0
12818,18,141.7,3.0
12826,17,95.0,0.0
12831,15,996.5,6.0
12834,11,739.5,5.0
12838,2,7.45,6.0
12840,22,141.98,0.0
12846,23,182.3,0.0
12847,15,112.0,7.0
1285,18,112.0,0.0
12853,18,722.66,0.0
12857,11,59.6,0.0
12870,14,940.0,5.0
12872,29,611.3299999999999,0.0
12873,28,210.78,1.0
12885,13,75.0,0.0
12886,7,42.5,13.0
12899,39,2363.4700000000003,4.0
12900,21,173.24,2.0
12903,13,246.0,6.0
12913,22,127.45,1.0
12929,11,73.5,5.0
12935,35,1529.03,2.0
12944,13,80.4,0.0
12947,29,1438.45,2.0
12950,14,123.3,6.0
12953,6,38.0,0.0
12964,10,653.1,3.0
12971,18,112.5,5.0
12977,13,67.2,1.0
12984,22,128.0,0.0
12985,17,118.0,6.0
12988,23,135.0,5.0
1299,21,121.5,0.0
12993,9,54.0,0.0
12995,23,1835.99,1.0
13001,32,168.5,0.0
13003,26,1389.35,0.0
13009,24,475.33,0.0
13016,16,77.85,3.0
13019,12,78.5,7.0
13022,24,123.15,4.0
13023,20,135.0,1.0
1304,27,1134.5,0.0
13044,16,91.25,0.0
13047,14,77.0,0.0
13054,17,119.0,5.0
13055,16,87.5,0.0
13069,28,160.45,0.0
13072,25,134.7,1.0
1309,24,3788.9,0.0
13100,15,90.5,7.0
13101,9,49.5,6.0
13105,21,1095.95,7.0
13109,23,132.65,1.0
1311,13,92.5,8.0
13126,12,70.0,7.0
13132,23,126.3,2.0
13133,43,334.56,1.0
13137,31,174.55,6.0
13148,11,59.5,0.0
13152,25,136.4,7.0
13160,13,62.1,7.0
13165,14,942.7,3.0
13174,10,64.5,0.0
13198,21,160.53,7.0
13205,28,227.95,3.0
13219,15,78.5,1.0
13225,27,225.0,1.0
13226,18,112.5,13.0
1323,21,122.25,0.0
1324,22,126.55,5.0
13243,21,118.3,0.0
13246,11,63.5,3.0
13252,25,140.7,1.0
13270,15,99.0,0.0
13273,22,118.95,1.0
13278,19,997.96,4.0
13285,22,153.01,0.0
13296,17,112.0,5.0
13299,17,97.5,12.0
13301,5,42.0,9.0
13309,61,47666.5,0.0
13311,19,189.39000000000001,12.0
13319,15,92.5,0.0
1332,33,209.0,0.0
13326,21,144.5,0.0
13344,12,83.58,2.0
13357,9,659.0,6.0
13372,21,162.85,0.0
13375,53,33384.5,0.0
13383,25,152.0,0.0
13389,30,160.6,0.0
13392,17,516.0,6.0
13393,8,40.0,0.0
13395,21,124.75,0.0
1340,22,129.9,0.0
13417,22,1015.5,6.0
13421,26,1004.16,0.0
13429,14,87.5,5.0
13432,24,164.44,6.0
13434,23,1211.5,0.0
13453,17,120.0,6.0
13458,17,131.0,0.0
13467,16,80.65,5.0
13485,13,73.5,6.0
13488,18,1205.91,3.0
13495,23,601.2,5.0
13502,18,105.2,1.0
13508,24,143.0,5.0
13531,19,124.4,12.0
13532,51,36632.9,1.0
13536,20,135.95,3.0
13557,24,140.65,0.0
1356,11,66.5,1.0
1357,13,94.5,7.0
13571,19,128.12,6.0
13601,19,95.85,5.0
13609,13,95.62,6.0
13610,30,175.5,0.0
13611,24,2075.05,0.0
13613,20,765.0,0.0
13615,28,177.0,0.0
13616,9,59.0,6.0
13624,25,168.0,0.0
13626,15,97.0,0.0
13633,27,165.95,0.0
13642,6,44.53,5.0
13677,31,1359.15,6.0
13681,17,112.5,2.0
1369,18,102.5,5.0
13690,27,180.62,6.0
13723,13,82.5,8.0
13724,16,86.5,0.0
13736,12,59.8,5.0
13738,9,54.5,7.0
13757,22,141.65,1.0
13773,20,122.5,2.0
13778,15,84.5,0.0
13798,14,61.65,1.0
13807,14,68.95,0.0
13808,19,799.97,0.0
1382,19,101.95,0.0
13822,7,38.5,14.0
13824,15,89.0,6.0
13851,19,109.5,2.0
13853,12,77.0,0.0
13865,7,42.0,13.0
13871,24,116.7,4.0
13875,9,49.9,11.0
13881,27,163.6,2.0
13883,18,898.01,6.0
13886,10,52.2,6.0
1390,32,229.97,5.0
13903,18,112.5,1.0
13904,50,42029.9,1.0
13927,9,56.0,0.0
1393,17,121.0,3.0
13935,29,162.3,0.0
13942,13,100.03999999999999,0.0
13944,15,91.0,7.0
13946,26,162.5,6.0
13977,26,138.5,1.0
1399,23,139.0,5.0
13991,18,782.0,0.0
13993,9,51.0,0.0
13998,6,38.0,0.0
14001,19,106.0,6.0
14005,16,86.95,0.0
14019,37,215.0,0.0
14027,32,1923.0,0.0
14032,10,55.45,6.0
14036,24,844.0,4.0
14040,34,211.9,0.0
14056,21,153.29,0.0
14069,20,925.25,0.0
14071,20,160.5,0.0
14073,2,12.0,9.0
14074,24,138.45,1.0
14083,9,57.95,1.0
14084,19,108.5,1.0
14087,22,135.05,0.0
14097,15,95.0,12.0
1410,31,188.45,5.0
14101,13,74.0,0.0
14121,12,90.26,1.0
14124,16,105.32,6.0
14135,8,48.5,7.0
14139,16,103.5,3.0
14146,23,132.5,0.0
14147,19,111.55,4.0
14152,25,147.9,1.0
14154,26,164.25,2.0
14160,30,189.45,3.0
14161,18,101.5,0.0
14167,19,406.83,0.0
14177,23,138.2,0.0
14179,14,80.5,7.0
14183,9,61.0,6.0
14187,19,176.45,0.0
14190,25,140.0,0.0
14202,32,186.0,4.0
14214,37,1450.84,1.0
14216,13,78.0,1.0
14218,6,33.3,4.0
14236,24,127.85,7.0
14243,13,80.0,0.0
14247,17,113.34,4.0
14254,30,2805.85,1.0
14263,12,55.8,5.0
14270,5,28.5,14.0
14272,10,64.5,4.0
14277,6,34.5,0.0
14289,23,132.95,0.0
14326,19,2377.5,1.0
1433,9,63.65,0.0
14345,9,1015.34,4.0
14358,15,86.15,0.0
14360,20,116.0,0.0
14362,32,202.0,6.0
14372,22,134.25,4.0
14388,16,97.5,0.0
14392,5,24.7,6.0
14410,22,1009.66,0.0
14415,14,445.17,0.0
14420,18,100.0,5.0
14424,25,3096.15,1.0
14426,19,113.85,0.0
1443,11,62.5,2.0
1444,21,124.85,3.0
14446,23,148.0,0.0
14448,35,185.6,0.0
14452,23,161.5,3.0
14458,9,75.6,15.0
14460,39,4015.9,0.0
14467,45,37212.5,4.0
14468,19,857.0,0.0
14493,29,1098.0,5.0
14496,20,159.53,6.0
14500,27,157.15,0.0
14502,6,36.5,0.0
14506,15,76.5,1.0
14519,17,93.5,6.0
14520,22,135.5,7.0
14527,26,1007.25,0.0
1453,12,63.0,4.0
14534,12,78.5,2.0
14543,15,88.5,1.0
14544,13,70.95,2.0
14547,11,64.5,6.0
14556,9,640.65,1.0
14559,21,814.0,1.0
14563,19,107.2,0.0
14577,31,189.5,0.0
1458,6,33.0,0.0
14582,9,52.0,0.0
1459,24,19026.85,1.0
14590,17,99.5,0.0
14593,15,86.15,4.0
14598,10,414.33,0.0
1460,6,69.34,0.0
14601,28,163.0,0.0
14611,19,119.0,0.0
14634,19,125.0,5.0
14639,15,71.95,1.0
14650,10,53.4,10.0
14662,20,113.45,7.0
14673,10,381.5,0.0
14685,21,149.65,1.0
14692,23,122.2,5.0
14697,8,50.5,2.0
1471,16,428.9,5.0
14715,31,2814.5,4.0
1472,16,96.0,0.0
14724,20,132.5,2.0
14730,14,103.11,5.0
14749,11,60.31,4.0
14754,15,82.7,4.0
1476,15,105.5,5.0
14769,23,134.55,1.0
14779,17,94.35,0.0
14785,8,47.93,7.0
14788,13,70.7,0.0
14793,14,95.46000000000001,0.0
14815,18,90.0,1.0
1482,5,28.5,7.0
14837,26,193.98,0.0
14840,12,82.0,2.0
14845,27,181.19,0.0
14846,23,142.0,5.0
14847,21,133.0,0.0
14850,18,1025.0,7.0
14865,15,78.5,1.0
14867,14,81.5,5.0
1487,18,98.0,0.0
14876,10,72.93,5.0
14877,16,756.65,0.0
14878,14,505.0,0.0
14879,17,1142.65,5.0
1489,5,427.0,0.0
14894,30,225.99,5.0
14899,8,43.5,7.0
1490,13,79.0,8.0
14900,25,144.45,2.0
14913,22,1962.6,0.0
14918,25,1603.75,4.0
14929,14,79.55,5.0
14930,24,136.0,0.0
14935,15,84.4,12.0
14955,14,77.0,6.0
14970,28,607.15,2.0
14980,18,99.5,6.0
14987,15,85.0,1.0
14995,7,41.0,5.0
15004,29,520.5,5.0
15018,14,91.15,4.0
15032,22,132.0,6.0
1505,13,78.45,1.0
15063,11,1760.0,2.0
1507,11,73.5,1.0
15078,14,67.65,0.0
15083,15,108.49,1.0
15086,15,88.0,1.0
15088,17,87.75,0.0
15104,18,2061.0,2.0
15129,15,94.95,1.0
15132,12,67.0,1.0
15135,28,161.5,5.0
15145,23,123.0,0.0
15148,21,115.95,6.0
15152,14,82.0,0.0
15165,16,96.2,2.0
15169,14,1114.5,3.0
15171,13,71.0,1.0
15173,19,106.0,6.0
15176,15,80.15,0.0
1518,9,50.5,6.0
15181,16,95.9,0.0
15197,16,471.35,0.0
1520,19,1073.5,5.0
15200,1,20.44,
15205,15,111.0,4.0
15210,16,154.9,3.0
15214,30,783.3299999999999,1.0
15219,5,24.5,0.0
15239,14,90.46000000000001,5.0
15240,12,64.0,0.0
15250,32,1124.5,0.0
15258,26,1676.5599999999997,6.0
15264,17,686.49,0.0
15265,14,68.5,3.0
15266,20,692.5,1.0
15272,8,601.66,4.0
15274,30,168.5,0.0
15277,13,81.0,3.0
15284,19,110.15,0.0
15289,6,33.5,5.0
1529,13,79.65,0.0
15294,19,748.34,12.0
15301,32,185.5,0.0
15305,11,56.8,8.0
15315,15,94.5,2.0
15317,25,188.78,0.0
15320,17,88.15,0.0
15321,15,100.11,5.0
15324,30,186.45,2.0
15343,6,32.5,1.0
15347,9,50.5,5.0
15350,34,800.41,0.0
15353,25,839.99,1.0
15354,22,115.0,2.0
15370,6,32.0,6.0
15377,27,159.0,0.0
1538,12,71.5,15.0
15381,31,195.5,0.0
15382,33,2374.44,0.0
15386,11,708.34,2.0
15387,21,1001.8,6.0
15393,14,91.0,0.0
15396,8,44.5,3.0
15400,5,34.74,0.0
15408,24,158.23,0.0
15414,40,1617.15,3.0
15418,30,182.3,0.0
15424,16,109.8,5.0
15429,21,180.13,0.0
15431,26,203.36,0.0
15438,16,100.5,0.0
15444,35,253.04,3.0
15454,22,147.45,1.0
15460,24,1715.3000000000002,0.0
15468,18,105.55,0.0
15471,50,25652.95,4.0
15480,11,50.8,5.0
15483,23,130.25,5.0
15497,19,103.3,0.0
15500,7,50.5,0.0
15501,21,196.11,7.0
15514,17,697.0,1.0
15515,17,1212.19,4.0
15521,17,105.35,2.0
15533,21,133.0,0.0
15538,11,70.0,5.0
15550,17,101.5,5.0
1556,15,99.0,2.0
15575,15,86.5,0.0
15585,17,2525.2799999999997,0.0
15597,31,193.75,5.0
15612,7,40.0,0.0
15613,9,58.0,6.0
15618,14,75.65,1.0
15622,27,2116.0,2.0
15624,4,25.0,0.0
15629,14,80.5,2.0
1563,9,72.28,7.0
15633,16,81.6,11.0
15640,7,376.57,4.0
15663,23,1100.4,1.0
1569,13,72.15,4.0
1570,21,125.15,1.0
15711,24,262.24,2.0
15714,17,127.50999999999999,1.0
15717,2,4.05,10.0
1572,5,39.0,2.0
15730,15,97.5,7.0
15737,14,67.75,3.0
15738,15,74.65,8.0
15767,15,872.5,0.0
15788,10,61.0,6.0
15789,4,28.0,6.0
15823,9,34.7,7.0
15829,27,151.9,3.0
15831,15,108.97,10.0
15838,12,63.4,1.0
15839,10,69.0,6.0
15867,22,144.5,6.0
15880,10,68.0,0.0
15888,14,74.15,0.0
