from_totally_fake_account,monetary,frequency,recency,R_score,F_score,M_score,R Compare,F Compare,M Compare,Category
1596.0,17544.31,1154,1,4,3,2,low,low,low,General recall of customers
1607.0,33225.22,1737,0,5,5,5,high,high,high,important value customers
1615.0,31709.91,1640,0,5,5,5,high,high,high,important value customers
1622.0,16835.56,771,3,2,1,1,low,low,low,General recall of customers
1623.0,36269.1,1192,1,4,3,5,low,low,high,Important customer recall
1631.0,17550.7,1948,0,5,5,2,high,high,low,General value customers
1634.0,31967.59,745,0,5,1,5,high,low,high,Important development customers
1639.0,20325.23,951,0,5,1,3,high,low,low,General development users
1642.0,23802.77,1657,0,5,5,4,high,high,high,important value customers
1644.0,16756.55,1620,0,5,5,1,high,high,low,General value customers
1661.0,23325.93,847,0,5,1,4,high,low,high,Important development customers
1675.0,30632.74,1101,0,5,3,5,high,low,high,Important development customers
1689.0,32778.18,1400,1,4,4,5,low,high,high,Important to keep customers
1697.0,17459.56,1823,0,5,5,2,high,high,low,General value customers
1703.0,21961.06,2064,0,5,5,3,high,high,low,General value customers
1715.0,21646.28,1053,0,5,2,3,high,low,low,General development users
1717.0,29207.1,930,0,5,1,4,high,low,high,Important development customers
1718.0,33306.65,1047,0,5,2,5,high,low,high,Important development customers
1730.0,15726.69,1624,0,5,5,1,high,high,low,General value customers
1736.0,17135.69,993,0,5,2,2,high,low,low,General development users
1757.0,17928.99,742,0,5,1,2,high,low,low,General development users
1784.0,23255.01,981,0,5,2,4,high,low,high,Important development customers
1786.0,29889.97,1291,0,5,4,4,high,high,high,important value customers
1793.0,18294.55,1105,0,5,3,2,high,low,low,General development users
1799.0,20347.13,1152,1,4,3,3,low,low,low,General recall of customers
1800.0,14413.51,846,0,5,1,1,high,low,low,General development users
1808.0,23023.57,1605,0,5,5,4,high,high,high,important value customers
1815.0,18166.63,999,0,5,2,2,high,low,low,General development users
1823.0,33277.73,1975,0,5,5,5,high,high,high,important value customers
1827.0,22726.24,1116,0,5,3,3,high,low,low,General development users
1828.0,16274.79,1106,0,5,3,1,high,low,low,General development users
1835.0,14682.66,1052,2,3,2,1,low,low,low,General recall of customers
1838.0,20106.8,1131,0,5,3,3,high,low,low,General development users
1908.0,33626.64,880,0,5,1,5,high,low,high,Important development customers
1910.0,19269.42,1705,1,4,5,2,low,high,low,Generally keep customers
1931.0,18288.91,1591,0,5,4,2,high,high,low,General value customers
1990.0,22465.03,1074,0,5,2,3,high,low,low,General development users
2004.0,16821.18,735,2,3,1,1,low,low,low,General recall of customers
2019.0,28724.67,948,0,5,1,4,high,low,high,Important development customers
2029.0,21083.55,1035,1,4,2,3,low,low,low,General recall of customers
2030.0,29651.97,1334,0,5,4,4,high,high,high,important value customers
2035.0,27124.66,1333,0,5,4,4,high,high,high,important value customers
2044.0,14818.22,942,0,5,1,1,high,low,low,General development users
2069.0,33665.23,770,0,5,1,5,high,low,high,Important development customers
2071.0,32943.19,1634,0,5,5,5,high,high,high,important value customers
2076.0,35564.2,1900,0,5,5,5,high,high,high,important value customers
2090.0,17044.52,855,0,5,1,2,high,low,low,General development users
2097.0,14900.14,1182,0,5,3,1,high,low,low,General development users
2100.0,18969.94,1711,0,5,5,2,high,high,low,General value customers
2108.0,22089.86,1578,0,5,4,3,high,high,low,General value customers
2116.0,14102.76,1644,0,5,5,1,high,high,low,General value customers
2126.0,19806.16,1094,0,5,3,3,high,low,low,General development users
2137.0,17533.36,1696,0,5,5,2,high,high,low,General value customers
2152.0,13922.75,1538,0,5,4,1,high,high,low,General value customers
2171.0,32269.08,1057,0,5,2,5,high,low,high,Important development customers
2182.0,28669.1,971,0,5,2,4,high,low,high,Important development customers
2211.0,17311.56,1146,0,5,3,2,high,low,low,General development users
2213.0,20224.69,1159,0,5,3,3,high,low,low,General development users
2214.0,20603.91,1160,0,5,3,3,high,low,low,General development users
2236.0,20731.14,1349,0,5,4,3,high,high,low,General value customers
2249.0,17870.68,960,0,5,2,2,high,low,low,General development users
2258.0,19982.12,983,1,4,2,3,low,low,low,General recall of customers
2260.0,17847.37,1368,0,5,4,2,high,high,low,General value customers
2274.0,18249.74,1934,0,5,5,2,high,high,low,General value customers
2288.0,16508.66,1164,0,5,3,1,high,low,low,General development users
2294.0,32773.8,1609,0,5,5,5,high,high,high,important value customers
2306.0,19221.16,936,0,5,1,2,high,low,low,General development users
2308.0,35890.96,1293,0,5,4,5,high,high,high,important value customers
2315.0,22214.15,1527,0,5,4,3,high,high,low,General value customers
2331.0,34855.82,2728,0,5,5,5,high,high,high,important value customers
2369.0,32209.19,991,0,5,2,5,high,low,high,Important development customers
2387.0,19485.3,1139,0,5,3,2,high,low,low,General development users
2390.0,22784.38,1904,0,5,5,3,high,high,low,General value customers
2430.0,31815.87,1465,0,5,4,5,high,high,high,important value customers
2440.0,17761.12,1028,0,5,2,2,high,low,low,General development users
2446.0,14235.41,916,0,5,1,1,high,low,low,General development users
2486.0,28395.53,875,0,5,1,4,high,low,high,Important development customers
2487.0,18175.21,931,3,2,1,2,low,low,low,General recall of customers
2493.0,17378.37,1015,0,5,2,2,high,low,low,General development users
2518.0,24575.84,2000,0,5,5,4,high,high,high,important value customers
2528.0,33069.21,840,1,4,1,5,low,low,high,Important customer recall
2538.0,27277.3,925,0,5,1,4,high,low,high,Important development customers
2574.0,14384.52,1363,0,5,4,1,high,high,low,General value customers
2580.0,32656.87,1492,0,5,4,5,high,high,high,important value customers
2585.0,32061.86,1067,0,5,2,5,high,low,high,Important development customers
2632.0,17025.61,1369,0,5,4,2,high,high,low,General value customers
2641.0,25033.4,1867,0,5,5,4,high,high,high,important value customers
2647.0,33884.86,1728,0,5,5,5,high,high,high,important value customers
2663.0,20666.82,1717,0,5,5,3,high,high,low,General value customers
2666.0,19717.02,1074,0,5,2,3,high,low,low,General development users
2677.0,19489.51,1115,0,5,3,2,high,low,low,General development users
2710.0,24874.24,673,0,5,1,4,high,low,high,Important development customers
2711.0,19016.85,1672,0,5,5,2,high,high,low,General value customers
2719.0,23375.32,1127,0,5,3,4,high,low,high,Important development customers
2760.0,20054.65,1530,0,5,4,3,high,high,low,General value customers
2767.0,16956.579999999998,1624,0,5,5,1,high,high,low,General value customers
2771.0,36952.71,2121,0,5,5,5,high,high,high,important value customers
2778.0,23477.75,1733,0,5,5,4,high,high,high,important value customers
2779.0,25135.13,1506,0,5,4,4,high,high,high,important value customers
2795.0,36172.51,1297,0,5,4,5,high,high,high,important value customers
2817.0,14928.12,1811,0,5,5,1,high,high,low,General value customers
2838.0,30309.85,750,3,2,1,4,low,low,high,Important customer recall
2844.0,23568.54,738,0,5,1,4,high,low,high,Important development customers
2852.0,18549.72,1143,3,2,3,2,low,low,low,General recall of customers
2854.0,32613.78,1189,0,5,3,5,high,low,high,Important development customers
2858.0,30834.33,1295,0,5,4,5,high,high,high,important value customers
2862.0,32288.65,2042,0,5,5,5,high,high,high,important value customers
2876.0,11854.07,1031,0,5,2,1,high,low,low,General development users
2881.0,31298.91,1192,0,5,3,5,high,low,high,Important development customers
2888.0,20445.41,737,3,2,1,3,low,low,low,General recall of customers
2895.0,34191.69,1219,0,5,3,5,high,low,high,Important development customers
2910.0,28651.0,1630,0,5,5,4,high,high,high,important value customers
2984.0,18103.8,1049,0,5,2,2,high,low,low,General development users
2987.0,17553.37,1422,0,5,4,2,high,high,low,General value customers
2997.0,17400.91,1026,0,5,2,2,high,low,low,General development users
3017.0,21152.34,1695,0,5,5,3,high,high,low,General value customers
3045.0,18638.03,815,0,5,1,2,high,low,low,General development users
3048.0,35731.58,1272,0,5,4,5,high,high,high,important value customers
3070.0,19094.11,881,0,5,1,2,high,low,low,General development users
3083.0,14990.2,976,1,4,2,1,low,low,low,General recall of customers
3093.0,21942.75,1050,0,5,2,3,high,low,low,General development users
3102.0,30216.65,1028,0,5,2,4,high,low,high,Important development customers
3107.0,21542.81,1238,0,5,3,3,high,low,low,General development users
3109.0,27240.35,908,0,5,1,4,high,low,high,Important development customers
3142.0,21960.29,1133,0,5,3,3,high,low,low,General development users
3143.0,20784.88,2097,0,5,5,3,high,high,low,General value customers
3145.0,22449.68,919,0,5,1,3,high,low,low,General development users
3158.0,28444.96,1161,2,3,3,4,low,low,high,Important customer recall
3217.0,16702.24,1259,0,5,4,1,high,high,low,General value customers
3226.0,33912.79,1845,0,5,5,5,high,high,high,important value customers
3237.0,34269.69,1532,0,5,4,5,high,high,high,important value customers
3241.0,30909.21,1314,0,5,4,5,high,high,high,important value customers
3252.0,21059.670000000002,1129,0,5,3,3,high,low,low,General development users
3269.0,16837.26,1687,0,5,5,1,high,high,low,General value customers
3285.0,18988.48,801,1,4,1,2,low,low,low,General recall of customers
3287.0,33616.3,1216,0,5,3,5,high,low,high,Important development customers
3291.0,34540.3,733,0,5,1,5,high,low,high,Important development customers
3296.0,23500.66,1662,0,5,5,4,high,high,high,important value customers
3317.0,15717.31,1634,0,5,5,1,high,high,low,General value customers
3329.0,19557.82,1057,1,4,2,3,low,low,low,General recall of customers
3362.0,30569.91,1078,0,5,2,5,high,low,high,Important development customers
3378.0,25491.84,746,0,5,1,4,high,low,high,Important development customers
3381.0,13336.64,766,1,4,1,1,low,low,low,General recall of customers
3395.0,17434.31,1401,0,5,4,2,high,high,low,General value customers
3402.0,20429.34,840,1,4,1,3,low,low,low,General recall of customers
3417.0,31733.329999999998,872,3,2,1,5,low,low,high,Important customer recall
3431.0,20408.93,1316,0,5,4,3,high,high,low,General value customers
3456.0,33398.08,1730,0,5,5,5,high,high,high,important value customers
3458.0,41919.88,1675,0,5,5,5,high,high,high,important value customers
3465.0,36239.6,1282,0,5,4,5,high,high,high,important value customers
3472.0,21078.79,960,0,5,2,3,high,low,low,General development users
3498.0,25300.99,1785,0,5,5,4,high,high,high,important value customers
3512.0,35466.659999999996,868,1,4,1,5,low,low,high,Important customer recall
3521.0,14514.4,1082,1,4,2,1,low,low,low,General recall of customers
3559.0,17762.96,1138,1,4,3,2,low,low,low,General recall of customers
3575.0,35033.42,1459,0,5,4,5,high,high,high,important value customers
3577.0,17419.8,1048,1,4,2,2,low,low,low,General recall of customers
3580.0,17397.37,1588,0,5,4,2,high,high,low,General value customers
3582.0,17737.11,923,0,5,1,2,high,low,low,General development users
3599.0,30014.09,1643,0,5,5,4,high,high,high,important value customers
3602.0,24630.09,1196,0,5,3,4,high,low,high,Important development customers
3615.0,20885.33,1146,0,5,3,3,high,low,low,General development users
3634.0,18177.61,989,0,5,2,2,high,low,low,General development users
3638.0,17695.74,1550,0,5,4,2,high,high,low,General value customers
3642.0,13509.83,951,0,5,1,1,high,low,low,General development users
3650.0,14462.29,1513,0,5,4,1,high,high,low,General value customers
3675.0,18291.98,944,1,4,1,2,low,low,low,General recall of customers
3694.0,16957.63,1006,0,5,2,1,high,low,low,General development users
3704.0,31744.49,1058,0,5,2,5,high,low,high,Important development customers
3712.0,34334.19,1089,0,5,2,5,high,low,high,Important development customers
3765.0,16636.66,1112,0,5,3,1,high,low,low,General development users
3776.0,32095.23,968,0,5,2,5,high,low,high,Important development customers
3786.0,34324.3,1016,0,5,2,5,high,low,high,Important development customers
3795.0,15937.9,1251,0,5,4,1,high,high,low,General value customers
3800.0,21162.59,1049,1,4,2,3,low,low,low,General recall of customers
3822.0,16894.22,1301,0,5,4,1,high,high,low,General value customers
3838.0,30390.99,1126,0,5,3,4,high,low,high,Important development customers
3868.0,21718.13,1598,0,5,5,3,high,high,low,General value customers
3880.0,17396.75,1201,0,5,3,2,high,low,low,General development users
3890.0,19348.63,1692,0,5,5,2,high,high,low,General value customers
3896.0,24500.2,1404,0,5,4,4,high,high,high,important value customers
3905.0,16019.58,1089,0,5,2,1,high,low,low,General development users
3907.0,17261.24,987,1,4,2,2,low,low,low,General recall of customers
3934.0,22410.739999999998,776,3,2,1,3,low,low,low,General recall of customers
3939.0,22337.7,1957,0,5,5,3,high,high,low,General value customers
3958.0,14586.51,835,0,5,1,1,high,low,low,General development users
3970.0,28414.19,1385,0,5,4,4,high,high,high,important value customers
3994.0,29117.39,712,0,5,1,4,high,low,high,Important development customers
4009.0,15979.49,1614,0,5,5,1,high,high,low,General value customers
4018.0,23799.98,1147,0,5,3,4,high,low,high,Important development customers
4021.0,20080.02,1761,0,5,5,3,high,high,low,General value customers
4044.0,23234.48,1514,0,5,4,4,high,high,high,important value customers
4047.0,13610.2,996,1,4,2,1,low,low,low,General recall of customers
4081.0,28706.88,1058,1,4,2,4,low,low,high,Important customer recall
4083.0,31567.39,766,1,4,1,5,low,low,high,Important customer recall
4106.0,34062.19,843,0,5,1,5,high,low,high,Important development customers
4107.0,20105.2,1342,0,5,4,3,high,high,low,General value customers
4125.0,28881.43,1542,0,5,4,4,high,high,high,important value customers
4141.0,22989.57,1072,0,5,2,3,high,low,high,Important development customers
4142.0,32792.85,1029,0,5,2,5,high,low,high,Important development customers
4148.0,32158.42,1593,0,5,4,5,high,high,high,important value customers
4154.0,25783.13,967,0,5,2,4,high,low,high,Important development customers
4171.0,12692.85,653,3,2,1,1,low,low,low,General recall of customers
4177.0,17072.81,1135,0,5,3,2,high,low,low,General development users
4206.0,33653.57,1753,0,5,5,5,high,high,high,important value customers
4212.0,15566.449999999999,874,0,5,1,1,high,low,low,General development users
4230.0,15020.61,716,0,5,1,1,high,low,low,General development users
4239.0,34687.68,1039,0,5,2,5,high,low,high,Important development customers
4265.0,22582.13,1389,0,5,4,3,high,high,low,General value customers
4276.0,20914.14,1059,0,5,2,3,high,low,low,General development users
4279.0,25841.9,1993,0,5,5,4,high,high,high,important value customers
4301.0,16424.04,989,1,4,2,1,low,low,low,General recall of customers
4305.0,19456.8,1573,0,5,4,2,high,high,low,General value customers
4309.0,35887.520000000004,1244,0,5,3,5,high,low,high,Important development customers
4313.0,32840.07,1494,0,5,4,5,high,high,high,important value customers
4324.0,16299.87,1168,0,5,3,1,high,low,low,General development users
4336.0,16544.22,1102,1,4,3,1,low,low,low,General recall of customers
4343.0,16982.67,1021,0,5,2,2,high,low,low,General development users
4386.0,17852.83,1057,1,4,2,2,low,low,low,General recall of customers
4403.0,17756.18,1276,1,4,4,2,low,high,low,Generally keep customers
4416.0,13757.2,1680,0,5,5,1,high,high,low,General value customers
4428.0,14531.78,1054,0,5,2,1,high,low,low,General development users
4463.0,19614.08,1483,0,5,4,3,high,high,low,General value customers
4465.0,28244.18,1338,0,5,4,4,high,high,high,important value customers
4490.0,33763.73,1123,0,5,3,5,high,low,high,Important development customers
4494.0,19863.41,1279,0,5,4,3,high,high,low,General value customers
4497.0,21225.21,969,0,5,2,3,high,low,low,General development users
4498.0,31654.95,1505,0,5,4,5,high,high,high,important value customers
4511.0,20528.8,944,3,2,1,3,low,low,low,General recall of customers
4516.0,15816.28,1570,0,5,4,1,high,high,low,General value customers
4518.0,17162.31,991,0,5,2,2,high,low,low,General development users
4526.0,29924.91,1698,0,5,5,4,high,high,high,important value customers
4548.0,32166.85,1199,0,5,3,5,high,low,high,Important development customers
4549.0,19852.23,1007,0,5,2,3,high,low,low,General development users
4555.0,18050.87,1753,0,5,5,2,high,high,low,General value customers
4558.0,31648.71,1607,0,5,5,5,high,high,high,important value customers
4559.0,11359.88,900,0,5,1,1,high,low,low,General development users
4571.0,32430.68,842,1,4,1,5,low,low,high,Important customer recall
4572.0,19316.22,1516,0,5,4,2,high,high,low,General value customers
4585.0,17842.94,1792,0,5,5,2,high,high,low,General value customers
4614.0,20009.27,1163,0,5,3,3,high,low,low,General development users
4621.0,16263.05,948,1,4,1,1,low,low,low,General recall of customers
4623.0,16718.55,1686,0,5,5,1,high,high,low,General value customers
4651.0,14385.710000000001,943,0,5,1,1,high,low,low,General development users
4655.0,28475.59,822,0,5,1,4,high,low,high,Important development customers
4686.0,21364.51,1386,0,5,4,3,high,high,low,General value customers
4690.0,34624.93,1353,0,5,4,5,high,high,high,important value customers
4691.0,24475.829999999998,875,0,5,1,4,high,low,high,Important development customers
4695.0,21722.11,1280,0,5,4,3,high,high,low,General value customers
4697.0,34008.8,2109,0,5,5,5,high,high,high,important value customers
4708.0,13994.69,789,0,5,1,1,high,low,low,General development users
4710.0,20585.36,1768,0,5,5,3,high,high,low,General value customers
4717.0,22167.13,1481,0,5,4,3,high,high,low,General value customers
4731.0,30578.3,1536,0,5,4,5,high,high,high,important value customers
4739.0,15381.72,892,0,5,1,1,high,low,low,General development users
4754.0,16872.38,916,0,5,1,1,high,low,low,General development users
4759.0,22952.83,1321,1,4,4,3,low,high,high,Important to keep customers
4767.0,17304.53,1310,0,5,4,2,high,high,low,General value customers
4809.0,22944.84,1780,0,5,5,3,high,high,high,important value customers
4815.0,20066.48,1239,0,5,3,3,high,low,low,General development users
4818.0,16484.28,1244,0,5,3,1,high,low,low,General development users
4819.0,20783.06,1087,0,5,2,3,high,low,low,General development users
4820.0,19975.09,1058,2,3,2,3,low,low,low,General recall of customers
4823.0,19818.89,1448,0,5,4,3,high,high,low,General value customers
4824.0,34096.64,1518,0,5,4,5,high,high,high,important value customers
4832.0,20657.47,1281,0,5,4,3,high,high,low,General value customers
4837.0,29788.25,1589,0,5,4,4,high,high,high,important value customers
4838.0,25445.17,1199,0,5,3,4,high,low,high,Important development customers
4840.0,21297.11,1099,0,5,3,3,high,low,low,General development users
4861.0,16217.67,1000,0,5,2,1,high,low,low,General development users
4871.0,17905.63,1002,0,5,2,2,high,low,low,General development users
4875.0,33462.21,1321,0,5,4,5,high,high,high,important value customers
4888.0,29943.5,1680,0,5,5,4,high,high,high,important value customers
4898.0,11065.2,1388,0,5,4,1,high,high,low,General value customers
4903.0,18312.65,977,0,5,2,2,high,low,low,General development users
4905.0,34333.72,1257,0,5,4,5,high,high,high,important value customers
4930.0,17879.36,1296,0,5,4,2,high,high,low,General value customers
4931.0,30499.45,907,0,5,1,5,high,low,high,Important development customers
4955.0,32424.85,1411,0,5,4,5,high,high,high,important value customers
4958.0,38410.66,1871,0,5,5,5,high,high,high,important value customers
4976.0,14982.289999999999,1014,0,5,2,1,high,low,low,General development users
4993.0,30145.25,970,0,5,2,4,high,low,high,Important development customers
5001.0,29891.76,1710,0,5,5,4,high,high,high,important value customers
5039.0,26891.46,1158,0,5,3,4,high,low,high,Important development customers
5057.0,12880.76,972,0,5,2,1,high,low,low,General development users
5058.0,18337.88,1164,0,5,3,2,high,low,low,General development users
5063.0,16297.53,964,0,5,2,1,high,low,low,General development users
5068.0,28328.33,973,0,5,2,4,high,low,high,Important development customers
5093.0,15918.3,1273,0,5,4,1,high,high,low,General value customers
5108.0,23024.51,1734,0,5,5,4,high,high,high,important value customers
5119.0,30524.11,1378,0,5,4,5,high,high,high,important value customers
5127.0,11078.7,893,0,5,1,1,high,low,low,General development users
5164.0,22042.0,1030,0,5,2,3,high,low,low,General development users
5167.0,15542.42,801,3,2,1,1,low,low,low,General recall of customers
5173.0,19231.99,1329,0,5,4,2,high,high,low,General value customers
5174.0,19303.8,1515,0,5,4,2,high,high,low,General value customers
5180.0,15693.460000000001,902,1,4,1,1,low,low,low,General recall of customers
5198.0,12861.27,790,0,5,1,1,high,low,low,General development users
5200.0,18080.59,955,0,5,1,2,high,low,low,General development users
5215.0,19360.34,1479,0,5,4,2,high,high,low,General value customers
5219.0,26581.85,988,0,5,2,4,high,low,high,Important development customers
5222.0,24525.84,1214,0,5,3,4,high,low,high,Important development customers
5237.0,13799.1,914,0,5,1,1,high,low,low,General development users
5241.0,21999.31,1139,0,5,3,3,high,low,low,General development users
5248.0,21306.82,1119,1,4,3,3,low,low,low,General recall of customers
5251.0,23285.57,1366,0,5,4,4,high,high,high,important value customers
5261.0,22277.99,1132,1,4,3,3,low,low,low,General recall of customers
5266.0,35743.27,1096,1,4,3,5,low,low,high,Important customer recall
5276.0,16486.15,856,0,5,1,1,high,low,low,General development users
5280.0,22024.66,1078,2,3,2,3,low,low,low,General recall of customers
5283.0,21219.53,1671,0,5,5,3,high,high,low,General value customers
5285.0,30891.84,1239,0,5,3,5,high,low,high,Important development customers
5289.0,19394.54,1639,0,5,5,2,high,high,low,General value customers
5291.0,19348.26,1358,0,5,4,2,high,high,low,General value customers
5292.0,31648.92,1150,0,5,3,5,high,low,high,Important development customers
5298.0,21353.68,1711,0,5,5,3,high,high,low,General value customers
5299.0,30378.24,913,0,5,1,4,high,low,high,Important development customers
5300.0,27280.16,924,1,4,1,4,low,low,high,Important customer recall
5304.0,33418.13,1722,0,5,5,5,high,high,high,important value customers
5307.0,29024.8,1137,0,5,3,4,high,low,high,Important development customers
5319.0,21189.89,1818,0,5,5,3,high,high,low,General value customers
5322.0,29896.84,1576,0,5,4,4,high,high,high,important value customers
5338.0,21758.45,1108,0,5,3,3,high,low,low,General development users
5347.0,19517.67,1005,0,5,2,2,high,low,low,General development users
5353.0,31091.36,966,1,4,2,5,low,low,high,Important customer recall
5357.0,23657.93,1932,0,5,5,4,high,high,high,important value customers
5378.0,29903.420000000002,587,3,2,1,4,low,low,high,Important customer recall
5391.0,17624.49,748,1,4,1,2,low,low,low,General recall of customers
5394.0,16182.31,915,0,5,1,1,high,low,low,General development users
5403.0,35178.25,988,0,5,2,5,high,low,high,Important development customers
5412.0,20776.87,970,0,5,2,3,high,low,low,General development users
5439.0,17685.66,1047,0,5,2,2,high,low,low,General development users
5457.0,20609.61,923,2,3,1,3,low,low,low,General recall of customers
5462.0,17454.77,1162,0,5,3,2,high,low,low,General development users
5486.0,18805.15,1539,0,5,4,2,high,high,low,General value customers
5491.0,28124.14,843,0,5,1,4,high,low,high,Important development customers
5494.0,28987.32,1095,2,3,3,4,low,low,high,Important customer recall
5499.0,25494.76,1097,0,5,3,4,high,low,high,Important development customers
5500.0,13552.63,649,3,2,1,1,low,low,low,General recall of customers
5501.0,31129.23,1298,0,5,4,5,high,high,high,important value customers
5511.0,18619.8,1483,0,5,4,2,high,high,low,General value customers
5514.0,14942.71,1728,0,5,5,1,high,high,low,General value customers
5522.0,19132.39,2053,0,5,5,2,high,high,low,General value customers
5525.0,13646.44,1188,0,5,3,1,high,low,low,General development users
5538.0,25670.8,1127,0,5,3,4,high,low,high,Important development customers
5556.0,17970.87,881,0,5,1,2,high,low,low,General development users
5569.0,35619.16,1688,0,5,5,5,high,high,high,important value customers
5580.0,29261.66,1338,0,5,4,4,high,high,high,important value customers
5589.0,19636.95,1059,0,5,2,3,high,low,low,General development users
5615.0,14423.789999999999,1061,0,5,2,1,high,low,low,General development users
5620.0,30769.5,1013,0,5,2,5,high,low,high,Important development customers
5653.0,29764.57,1758,0,5,5,4,high,high,high,important value customers
5671.0,20886.44,1361,0,5,4,3,high,high,low,General value customers
5679.0,24080.74,1193,0,5,3,4,high,low,high,Important development customers
5701.0,19084.8,1842,0,5,5,2,high,high,low,General value customers
5706.0,25532.85,1105,0,5,3,4,high,low,high,Important development customers
5720.0,16601.89,824,1,4,1,1,low,low,low,General recall of customers
5733.0,29536.6,788,1,4,1,4,low,low,high,Important customer recall
5740.0,37905.23,1896,0,5,5,5,high,high,high,important value customers
5782.0,23788.5,1108,0,5,3,4,high,low,high,Important development customers
5784.0,31464.07,683,1,4,1,5,low,low,high,Important customer recall
5797.0,34472.98,1691,0,5,5,5,high,high,high,important value customers
5803.0,20841.11,1113,0,5,3,3,high,low,low,General development users
5805.0,19950.05,1726,0,5,5,3,high,high,low,General value customers
5809.0,14496.69,1023,0,5,2,1,high,low,low,General development users
5831.0,28696.829999999998,1528,0,5,4,4,high,high,high,important value customers
5844.0,19188.83,1337,0,5,4,2,high,high,low,General value customers
5852.0,24907.3,1515,0,5,4,4,high,high,high,important value customers
5853.0,19047.85,1603,0,5,5,2,high,high,low,General value customers
5876.0,32324.08,1124,0,5,3,5,high,low,high,Important development customers
5882.0,16506.079999999998,1103,0,5,3,1,high,low,low,General development users
5889.0,16887.4,899,1,4,1,1,low,low,low,General recall of customers
5890.0,15499.7,1011,0,5,2,1,high,low,low,General development users
5919.0,27411.71,870,0,5,1,4,high,low,high,Important development customers
5936.0,24196.45,1006,0,5,2,4,high,low,high,Important development customers
5941.0,15233.27,1770,0,5,5,1,high,high,low,General value customers
5960.0,24526.78,1665,0,5,5,4,high,high,high,important value customers
5979.0,36408.34,1045,0,5,2,5,high,low,high,Important development customers
5984.0,22615.08,1799,0,5,5,3,high,high,low,General value customers
6010.0,19619.62,1382,0,5,4,3,high,high,low,General value customers
6016.0,15171.7,1160,1,4,3,1,low,low,low,General recall of customers
6030.0,33975.14,1109,0,5,3,5,high,low,high,Important development customers
6031.0,19687.34,980,3,2,2,3,low,low,low,General recall of customers
6046.0,20113.71,788,1,4,1,3,low,low,low,General recall of customers
6048.0,33362.7,1197,0,5,3,5,high,low,high,Important development customers
