from_totally_fake_account,total_transactions,total_amount_spent,transactions_quintile,amount_quintile,transactions_level,amount_level,activity_score
32418.0,2293,36410.84,5,5,High,High,5.0
8331.0,1678,33829.36,5,5,High,High,5.0
61250.0,1737,33787.86,5,5,High,High,5.0
61275.0,1924,31721.41,5,5,High,High,5.0
90502.0,1709,36808.94,5,5,High,High,5.0
90505.0,2173,33651.65,5,5,High,High,5.0
16318.0,1934,37241.28,5,5,High,High,5.0
48004.0,1754,33668.15,5,5,High,High,5.0
90681.0,1683,37770.45,5,5,High,High,5.0
25015.0,1623,36943.92,5,5,High,High,5.0
7453.0,2007,34038.85,5,5,High,High,5.0
47902.0,1944,34914.28,5,5,High,High,5.0
76687.0,1762,31049.74,5,5,High,High,5.0
76665.0,1763,31920.43,5,5,High,High,5.0
16506.0,1829,37943.65,5,5,High,High,5.0
76546.0,1858,31004.8,5,5,High,High,5.0
91055.0,1654,35537.59,5,5,High,High,5.0
91091.0,1787,33054.37,5,5,High,High,5.0
91145.0,1694,32747.48,5,5,High,High,5.0
46412.0,1699,39799.98,5,5,High,High,5.0
24252.0,1884,31312.48,5,5,High,High,5.0
62615.0,1647,32127.43,5,5,High,High,5.0
94666.0,1829,34365.26,5,5,High,High,5.0
18219.0,1749,35264.51,5,5,High,High,5.0
95000.0,1640,30954.21,5,5,High,High,5.0
94958.0,1712,31497.5,5,5,High,High,5.0
4958.0,1871,38410.66,5,5,High,High,5.0
44320.0,2094,38611.2,5,5,High,High,5.0
23714.0,1659,37492.91,5,5,High,High,5.0
44608.0,1834,31441.13,5,5,High,High,5.0
92920.0,2179,35149.16,5,5,High,High,5.0
63497.0,1694,33558.08,5,5,High,High,5.0
63430.0,1618,32070.01,5,5,High,High,5.0
94220.0,1779,38070.53,5,5,High,High,5.0
35244.0,2122,36462.24,5,5,High,High,5.0
35239.0,1777,33111.79,5,5,High,High,5.0
44678.0,1690,32925.23,5,5,High,High,5.0
95048.0,1881,32974.22,5,5,High,High,5.0
72995.0,2066,40071.29,5,5,High,High,5.0
18472.0,1649,31812.57,5,5,High,High,5.0
95132.0,1694,32422.25,5,5,High,High,5.0
95139.0,1621,31597.31,5,5,High,High,5.0
64200.0,1694,34057.46,5,5,High,High,5.0
18602.0,1755,32767.96,5,5,High,High,5.0
35774.0,1689,32966.68,5,5,High,High,5.0
72960.0,1597,34391.55,5,5,High,High,5.0
4697.0,2109,34008.8,5,5,High,High,5.0
23296.0,2267,38096.26,5,5,High,High,5.0
72758.0,2171,42305.12,5,5,High,High,5.0
64691.0,2186,41986.9,5,5,High,High,5.0
95633.0,1909,32104.43,5,5,High,High,5.0
95754.0,2047,37563.53,5,5,High,High,5.0
4558.0,1607,31648.71,5,5,High,High,5.0
72614.0,1866,35112.8,5,5,High,High,5.0
94186.0,1667,37953.87,5,5,High,High,5.0
17813.0,1617,33224.8,5,5,High,High,5.0
35190.0,2322,32394.75,5,5,High,High,5.0
45857.0,2047,40808.06,5,5,High,High,5.0
74536.0,1803,31780.88,5,5,High,High,5.0
17398.0,2477,45141.37,5,5,High,High,5.0
92943.0,1644,33823.64,5,5,High,High,5.0
17419.0,1994,35051.89,5,5,High,High,5.0
46143.0,1609,33633.840000000004,5,5,High,High,5.0
93083.0,2032,32991.56,5,5,High,High,5.0
93178.0,1723,36053.75,5,5,High,High,5.0
93241.0,1682,35695.68,5,5,High,High,5.0
74438.0,1660,33257.18,5,5,High,High,5.0
5797.0,1691,34472.98,5,5,High,High,5.0
5740.0,1896,37905.23,5,5,High,High,5.0
74361.0,1837,31713.13,5,5,High,High,5.0
45917.0,1617,38390.37,5,5,High,High,5.0
62876.0,1790,38141.27,5,5,High,High,5.0
17662.0,1897,32399.69,5,5,High,High,5.0
5304.0,1722,33418.13,5,5,High,High,5.0
5569.0,1688,35619.16,5,5,High,High,5.0
34808.0,1802,33363.07,5,5,High,High,5.0
45700.0,1641,32783.41,5,5,High,High,5.0
93680.0,1688,37216.47,5,5,High,High,5.0
62998.0,2061,41716.65,5,5,High,High,5.0
17741.0,1666,35826.28,5,5,High,High,5.0
94012.0,1830,31215.71,5,5,High,High,5.0
45237.0,1774,33165.08,5,5,High,High,5.0
45093.0,1727,36857.92,5,5,High,High,5.0
35104.0,1716,33989.25,5,5,High,High,5.0
73846.0,1953,35312.27,5,5,High,High,5.0
73842.0,1976,31487.39,5,5,High,High,5.0
63258.0,2322,35602.97,5,5,High,High,5.0
17781.0,1603,33294.37,5,5,High,High,5.0
77527.0,1787,31847.83,5,5,High,High,5.0
8377.0,2051,37042.85,5,5,High,High,5.0
49246.0,1828,34137.37,5,5,High,High,5.0
29649.0,1678,32163.09,5,5,High,High,5.0
29798.0,1880,32844.89,5,5,High,High,5.0
53457.0,1830,34705.32,5,5,High,High,5.0
11252.0,1652,35399.38,5,5,High,High,5.0
80844.0,1650,34944.34,5,5,High,High,5.0
11314.0,2134,33974.69,5,5,High,High,5.0
80985.0,2139,39047.24,5,5,High,High,5.0
11405.0,1862,38581.98,5,5,High,High,5.0
58078.0,1763,37236.94,5,5,High,High,5.0
84377.0,1660,30696.42,5,5,High,High,5.0
53678.0,1735,33461.61,5,5,High,High,5.0
13808.0,1993,31931.98,5,5,High,High,5.0
29449.0,1716,33635.87,5,5,High,High,5.0
84192.0,1922,36789.49,5,5,High,High,5.0
57171.0,1805,36419.69,5,5,High,High,5.0
80808.0,1791,33218.42,5,5,High,High,5.0
80767.0,1625,33030.85,5,5,High,High,5.0
80711.0,1749,39517.39,5,5,High,High,5.0
84863.0,1635,32065.91,5,5,High,High,5.0
80697.0,1870,32031.14,5,5,High,High,5.0
11177.0,1920,30424.25,5,5,High,High,5.0
84946.0,2310,35411.61,5,5,High,High,5.0
57425.0,1848,34296.83,5,5,High,High,5.0
53235.0,1756,32600.25,5,5,High,High,5.0
27124.0,1844,35153.86,5,5,High,High,5.0
27046.0,1760,31503.08,5,5,High,High,5.0
57717.0,1974,32803.62,5,5,High,High,5.0
30075.0,1782,35672.83,5,5,High,High,5.0
85436.0,1622,31637.9,5,5,High,High,5.0
14160.0,1644,34155.31,5,5,High,High,5.0
14214.0,1982,33920.57,5,5,High,High,5.0
26731.0,1597,38727.97,5,5,High,High,5.0
11628.0,2107,37487.19,5,5,High,High,5.0
29340.0,2111,37450.54,5,5,High,High,5.0
56543.0,1951,38326.24,5,5,High,High,5.0
82224.0,1978,32962.56,5,5,High,High,5.0
55548.0,2047,32080.03,5,5,High,High,5.0
12652.0,1651,32116.86,5,5,High,High,5.0
55547.0,1787,37045.19,5,5,High,High,5.0
28448.0,1789,33858.79,5,5,High,High,5.0
55393.0,1644,31072.63,5,5,High,High,5.0
28513.0,1792,33952.58,5,5,High,High,5.0
82862.0,1768,38037.25,5,5,High,High,5.0
28582.0,1809,34403.1,5,5,High,High,5.0
12774.0,2265,36886.27,5,5,High,High,5.0
27899.0,1949,35280.97,5,5,High,High,5.0
12903.0,1972,32389.53,5,5,High,High,5.0
56071.0,1764,32734.48,5,5,High,High,5.0
28767.0,1730,35726.32,5,5,High,High,5.0
54921.0,1703,32242.98,5,5,High,High,5.0
27678.0,1925,36727.32,5,5,High,High,5.0
27575.0,1839,36336.4,5,5,High,High,5.0
28873.0,1825,34650.98,5,5,High,High,5.0
54847.0,1974,37118.87,5,5,High,High,5.0
11976.0,1927,33457.51,5,5,High,High,5.0
54487.0,1810,32232.29,5,5,High,High,5.0
54451.0,1660,39327.0,5,5,High,High,5.0
54327.0,1765,33201.88,5,5,High,High,5.0
54294.0,1838,38812.59,5,5,High,High,5.0
83726.0,1882,33107.96,5,5,High,High,5.0
11827.0,1610,31684.77,5,5,High,High,5.0
83742.0,2059,33131.92,5,5,High,High,5.0
56337.0,2198,36319.79,5,5,High,High,5.0
83818.0,1839,36652.18,5,5,High,High,5.0
11756.0,1811,33807.32,5,5,High,High,5.0
83907.0,1799,34420.93,5,5,High,High,5.0
30122.0,1901,34434.07,5,5,High,High,5.0
85701.0,2088,38297.96,5,5,High,High,5.0
15823.0,1743,32354.27,5,5,High,High,5.0
15258.0,1748,30459.96,5,5,High,High,5.0
88314.0,1651,34511.15,5,5,High,High,5.0
59834.0,1619,31613.16,5,5,High,High,5.0
50423.0,2187,31539.2,5,5,High,High,5.0
88298.0,1868,34837.46,5,5,High,High,5.0
9048.0,1598,32525.45,5,5,High,High,5.0
59609.0,1790,35033.24,5,5,High,High,5.0
88203.0,1724,33841.39,5,5,High,High,5.0
85767.0,1810,37889.12,5,5,High,High,5.0
88027.0,1931,33655.6,5,5,High,High,5.0
15197.0,1679,31728.55,5,5,High,High,5.0
50953.0,1672,31850.01,5,5,High,High,5.0
59317.0,2081,33765.51,5,5,High,High,5.0
59047.0,1707,31433.08,5,5,High,High,5.0
26052.0,1622,32839.61,5,5,High,High,5.0
31770.0,1699,36865.93,5,5,High,High,5.0
59873.0,1649,31776.46,5,5,High,High,5.0
59887.0,1737,34265.42,5,5,High,High,5.0
25639.0,1745,35393.06,5,5,High,High,5.0
25637.0,1930,33824.23,5,5,High,High,5.0
88555.0,2081,38957.36,5,5,High,High,5.0
49659.0,1908,33973.51,5,5,High,High,5.0
49436.0,1842,36390.14,5,5,High,High,5.0
60330.0,1967,32624.26,5,5,High,High,5.0
60341.0,1709,32204.24,5,5,High,High,5.0
25543.0,1696,36254.68,5,5,High,High,5.0
88837.0,1794,34546.68,5,5,High,High,5.0
60402.0,1682,35568.55,5,5,High,High,5.0
77761.0,1665,34813.71,5,5,High,High,5.0
77699.0,1847,31511.14,5,5,High,High,5.0
8506.0,1856,35401.62,5,5,High,High,5.0
15663.0,1751,32418.93,5,5,High,High,5.0
14879.0,1670,32261.85,5,5,High,High,5.0
14877.0,2503,34970.2,5,5,High,High,5.0
51295.0,1790,32022.02,5,5,High,High,5.0
52247.0,1603,35234.25,5,5,High,High,5.0
30279.0,1693,31505.43,5,5,High,High,5.0
52682.0,2119,39028.22,5,5,High,High,5.0
30302.0,1795,31822.84,5,5,High,High,5.0
30350.0,1699,38731.68,5,5,High,High,5.0
52536.0,1691,34266.02,5,5,High,High,5.0
86199.0,1798,39429.03,5,5,High,High,5.0
52481.0,1654,38454.93,5,5,High,High,5.0
30473.0,1807,36174.68,5,5,High,High,5.0
30489.0,1887,36458.97,5,5,High,High,5.0
86440.0,1879,30682.73,5,5,High,High,5.0
86448.0,1863,34059.6,5,5,High,High,5.0
58200.0,1771,32644.36,5,5,High,High,5.0
86539.0,1917,34607.36,5,5,High,High,5.0
30553.0,1903,40008.84,5,5,High,High,5.0
58479.0,1730,32991.48,5,5,High,High,5.0
87271.0,1651,35593.23,5,5,High,High,5.0
30728.0,1686,33318.66,5,5,High,High,5.0
79669.0,1927,30811.83,5,5,High,High,5.0
58611.0,1618,35970.49,5,5,High,High,5.0
10141.0,1898,34356.08,5,5,High,High,5.0
51790.0,1859,34931.64,5,5,High,High,5.0
86967.0,1866,34058.08,5,5,High,High,5.0
30986.0,1694,32423.92,5,5,High,High,5.0
87025.0,1740,30830.86,5,5,High,High,5.0
79091.0,1991,35791.66,5,5,High,High,5.0
31043.0,1648,33079.87,5,5,High,High,5.0
9869.0,2256,34867.35,5,5,High,High,5.0
51565.0,1804,31401.43,5,5,High,High,5.0
9740.0,1881,32106.33,5,5,High,High,5.0
58977.0,1926,39163.63,5,5,High,High,5.0
43602.0,1821,35365.74,5,5,High,High,5.0
75319.0,2037,32947.99,5,5,High,High,5.0
43115.0,1641,30472.35,5,5,High,High,5.0
67182.0,2018,37623.95,5,5,High,High,5.0
43141.0,1903,34948.3,5,5,High,High,5.0
70452.0,1709,35745.05,5,5,High,High,5.0
70476.0,1635,32264.22,5,5,High,High,5.0
19761.0,1933,34173.1,5,5,High,High,5.0
97979.0,1649,33736.72,5,5,High,High,5.0
99726.0,1809,37341.61,5,5,High,High,5.0
38552.0,1626,36017.25,5,5,High,High,5.0
20017.0,1633,36288.85,5,5,High,High,5.0
65396.0,1753,36467.51,5,5,High,High,5.0
66049.0,1722,31024.78,5,5,High,High,5.0
67244.0,1656,30469.12,5,5,High,High,5.0
65108.0,2036,37725.97,5,5,High,High,5.0
19810.0,1693,38177.02,5,5,High,High,5.0
38646.0,1617,37658.39,5,5,High,High,5.0
38651.0,1995,37999.57,5,5,High,High,5.0
96509.0,1710,35366.1,5,5,High,High,5.0
40953.0,1796,36688.94,5,5,High,High,5.0
98569.0,1789,34608.33,5,5,High,High,5.0
98560.0,1762,30798.87,5,5,High,High,5.0
97116.0,1819,36231.64,5,5,High,High,5.0
70539.0,1732,33381.79,5,5,High,High,5.0
20791.0,1864,30576.41,5,5,High,High,5.0
67579.0,2009,36427.47,5,5,High,High,5.0
100338.0,1661,32710.34,5,5,High,High,5.0
65978.0,1818,36515.88,5,5,High,High,5.0
2331.0,2728,34855.82,5,5,High,High,5.0
1490.0,1655,31755.63,5,5,High,High,5.0
41042.0,1775,31517.15,5,5,High,High,5.0
42541.0,1625,38415.71,5,5,High,High,5.0
42951.0,1873,33038.65,5,5,High,High,5.0
20726.0,1970,35251.12,5,5,High,High,5.0
38394.0,2092,35262.87,5,5,High,High,5.0
22741.0,1773,38609.84,5,5,High,High,5.0
99887.0,1652,36671.32,5,5,High,High,5.0
22418.0,1937,31299.01,5,5,High,High,5.0
3226.0,1845,33912.79,5,5,High,High,5.0
42740.0,1870,33590.89,5,5,High,High,5.0
65802.0,1917,32247.49,5,5,High,High,5.0
20251.0,1834,35487.98,5,5,High,High,5.0
19322.0,2105,32644.16,5,5,High,High,5.0
96808.0,1675,33501.03,5,5,High,High,5.0
40225.0,1770,33686.26,5,5,High,High,5.0
40735.0,1972,34788.01,5,5,High,High,5.0
39953.0,2109,41122.14,5,5,High,High,5.0
96759.0,1849,32954.56,5,5,High,High,5.0
67779.0,1870,35799.94,5,5,High,High,5.0
1615.0,1640,31709.91,5,5,High,High,5.0
1607.0,1737,33225.22,5,5,High,High,5.0
2294.0,1609,32773.8,5,5,High,High,5.0
41980.0,1643,33667.6,5,5,High,High,5.0
97033.0,2665,38250.83,5,5,High,High,5.0
71006.0,1647,40206.08,5,5,High,High,5.0
41718.0,1975,35590.81,5,5,High,High,5.0
3456.0,1730,33398.08,5,5,High,High,5.0
42329.0,1790,36899.11,5,5,High,High,5.0
1823.0,1975,33277.73,5,5,High,High,5.0
38906.0,1781,35760.17,5,5,High,High,5.0
2076.0,1900,35564.2,5,5,High,High,5.0
40576.0,1702,35595.21,5,5,High,High,5.0
97507.0,1799,34371.94,5,5,High,High,5.0
37653.0,1654,37676.33,5,5,High,High,5.0
4206.0,1753,33653.57,5,5,High,High,5.0
22245.0,1787,36688.39,5,5,High,High,5.0
19928.0,1612,31505.22,5,5,High,High,5.0
99283.0,1888,37180.24,5,5,High,High,5.0
40610.0,1633,35393.82,5,5,High,High,5.0
98203.0,1694,37920.75,5,5,High,High,5.0
38114.0,2027,36180.81,5,5,High,High,5.0
96218.0,1778,32040.68,5,5,High,High,5.0
70875.0,1618,31964.31,5,5,High,High,5.0
98245.0,2060,31661.32,5,5,High,High,5.0
2071.0,1634,32943.19,5,5,High,High,5.0
65010.0,1829,33795.26,5,5,High,High,5.0
97454.0,1746,36398.32,5,5,High,High,5.0
2771.0,2121,36952.71,5,5,High,High,5.0
64993.0,1862,35040.58,5,5,High,High,5.0
3458.0,1675,41919.88,5,5,High,High,5.0
97446.0,1739,37693.77,5,5,High,High,5.0
20957.0,1694,35734.64,5,5,High,High,5.0
43524.0,1602,31115.63,5,5,High,High,5.0
100820.0,1724,36982.39,5,5,High,High,5.0
40665.0,1831,35084.14,5,5,High,High,5.0
97419.0,1652,34312.26,5,5,High,High,5.0
39034.0,1631,34558.97,5,5,High,High,5.0
39399.0,1831,31931.75,5,5,High,High,5.0
18860.0,1829,31329.43,5,5,High,High,5.0
37596.0,1751,36110.12,5,5,High,High,5.0
2862.0,2042,32288.65,5,5,High,High,5.0
99851.0,1852,36624.22,5,5,High,High,5.0
19533.0,1912,34285.09,5,5,High,High,5.0
100688.0,1771,32379.62,5,5,High,High,5.0
100608.0,1657,40276.7,5,5,High,High,5.0
40459.0,1650,31298.94,5,5,High,High,5.0
40538.0,2227,36668.87,5,5,High,High,5.0
96404.0,1745,31236.92,5,5,High,High,5.0
98410.0,1694,31808.3,5,5,High,High,5.0
2647.0,1728,33884.86,5,5,High,High,5.0
39566.0,1753,34791.82,5,5,High,High,5.0
68501.0,1618,33709.51,5,5,High,High,5.0
98468.0,1668,30787.45,5,5,High,High,5.0
19952.0,1644,32455.21,5,5,High,High,5.0
65063.0,1795,30960.54,5,5,High,High,5.0
69547.0,1763,33468.56,5,5,High,High,5.0
98305.0,2296,38844.75,5,5,High,High,5.0
72283.0,1960,35807.36,5,5,High,High,5.0
42371.0,2094,41698.46,5,5,High,High,5.0
100466.0,1890,31916.23,5,5,High,High,5.0
97250.0,1613,32132.98,5,5,High,High,5.0
68429.0,1689,33790.92,5,5,High,High,5.0
69499.0,1719,34400.48,5,5,High,High,5.0
58890.0,1251,33196.98,4,5,High,High,4.6
87604.0,1325,30529.06,4,5,High,High,4.6
51111.0,1322,34305.77,4,5,High,High,4.6
78509.0,1547,34202.93,4,5,High,High,4.6
20164.0,1359,35395.43,4,5,High,High,4.6
66941.0,1553,31206.26,4,5,High,High,4.6
14913.0,1515,31596.32,4,5,High,High,4.6
51306.0,1310,30520.32,4,5,High,High,4.6
14754.0,1558,32870.28,4,5,High,High,4.6
69617.0,1591,33577.24,4,5,High,High,4.6
87006.0,1248,36033.87,4,5,High,High,4.6
78804.0,1421,30838.69,4,5,High,High,4.6
99051.0,1501,31411.95,4,5,High,High,4.6
59001.0,1397,31390.05,4,5,High,High,4.6
21727.0,1469,32741.54,4,5,High,High,4.6
98993.0,1298,32928.45,4,5,High,High,4.6
51353.0,1529,34981.56,4,5,High,High,4.6
9820.0,1514,35448.04,4,5,High,High,4.6
51439.0,1567,30885.68,4,5,High,High,4.6
69924.0,1291,33737.71,4,5,High,High,4.6
87207.0,1421,32842.27,4,5,High,High,4.6
78988.0,1531,30741.71,4,5,High,High,4.6
4498.0,1505,31654.95,4,5,High,High,4.6
59318.0,1434,34650.05,4,5,High,High,4.6
25450.0,1451,34727.1,4,5,High,High,4.6
8607.0,1474,33346.66,4,5,High,High,4.6
22026.0,1260,31943.26,4,5,High,High,4.6
15585.0,1263,37506.77,4,5,High,High,4.6
66635.0,1371,33946.97,4,5,High,High,4.6
2580.0,1492,32656.87,4,5,High,High,4.6
15717.0,1290,31829.14,4,5,High,High,4.6
41075.0,1246,37394.67,4,5,Low,High,4.6
49289.0,1360,35976.73,4,5,High,High,4.6
60424.0,1407,31795.77,4,5,High,High,4.6
32283.0,1334,38409.77,4,5,High,High,4.6
15867.0,1278,37721.11,4,5,High,High,4.6
37671.0,1371,35923.08,4,5,High,High,4.6
89175.0,1568,34840.15,4,5,High,High,4.6
60295.0,1353,35488.43,4,5,High,High,4.6
15935.0,1569,35236.96,4,5,High,High,4.6
60525.0,1297,34536.92,4,5,High,High,4.6
60678.0,1362,33223.81,4,5,High,High,4.6
25361.0,1265,31165.33,4,5,High,High,4.6
16006.0,1393,38476.99,4,5,High,High,4.6
25330.0,1385,36595.23,4,5,High,High,4.6
25307.0,1266,34369.15,4,5,High,High,4.6
16029.0,1435,32039.54,4,5,High,High,4.6
60780.0,1434,36050.25,4,5,High,High,4.6
22228.0,1506,30949.2,4,5,High,High,4.6
32706.0,1409,34013.57,4,5,High,High,4.6
89660.0,1553,32604.7,4,5,High,High,4.6
32150.0,1448,31737.19,4,5,High,High,4.6
98556.0,1395,33956.89,4,5,High,High,4.6
87847.0,1254,30922.73,4,5,High,High,4.6
40901.0,1509,32483.84,4,5,High,High,4.6
87865.0,1262,31871.0,4,5,High,High,4.6
9303.0,1449,31164.58,4,5,High,High,4.6
50990.0,1262,32574.06,4,5,High,High,4.6
37963.0,1341,37086.39,4,5,High,High,4.6
59352.0,1582,30800.37,4,5,High,High,4.6
50874.0,1269,35858.67,4,5,High,High,4.6
40829.0,1344,32575.36,4,5,High,High,4.6
50783.0,1366,39828.52,4,5,High,High,4.6
88124.0,1536,30596.49,4,5,High,High,4.6
88188.0,1466,37912.37,4,5,High,High,4.6
31550.0,1428,36737.74,4,5,High,High,4.6
25837.0,1250,32226.28,4,5,High,High,4.6
15265.0,1496,36225.56,4,5,High,High,4.6
25646.0,1272,30397.17,4,5,High,High,4.6
31659.0,1267,34253.24,4,5,High,High,4.6
59704.0,1500,31685.85,4,5,High,High,4.6
39119.0,1322,32574.61,4,5,High,High,4.6
78223.0,1376,31405.23,4,5,High,High,4.6
2308.0,1293,35890.96,4,5,High,High,4.6
21949.0,1396,33078.45,4,5,High,High,4.6
49985.0,1343,33655.94,4,5,High,High,4.6
15350.0,1475,34557.0,4,5,High,High,4.6
15353.0,1289,37143.96,4,5,High,High,4.6
2430.0,1465,31815.87,4,5,High,High,4.6
8882.0,1285,31325.7,4,5,High,High,4.6
59959.0,1521,34596.14,4,5,High,High,4.6
30976.0,1272,35228.05,4,5,High,High,4.6
14424.0,1283,31334.5,4,5,High,High,4.6
79174.0,1308,34895.47,4,5,High,High,4.6
79196.0,1563,33293.9,4,5,High,High,4.6
11926.0,1254,31370.66,4,5,High,High,4.6
100569.0,1246,33089.17,4,5,Low,High,4.6
68163.0,1361,30537.8,4,5,High,High,4.6
21101.0,1558,30545.02,4,5,High,High,4.6
56313.0,1477,38480.98,4,5,High,High,4.6
27618.0,1325,35222.45,4,5,High,High,4.6
20815.0,1500,33488.25,4,5,High,High,4.6
54264.0,1248,34638.01,4,5,High,High,4.6
21174.0,1359,35118.16,4,5,High,High,4.6
54161.0,1566,31461.2,4,5,High,High,4.6
81729.0,1295,33630.19,4,5,High,High,4.6
83935.0,1566,36170.34,4,5,High,High,4.6
29302.0,1419,37015.13,4,5,High,High,4.6
39733.0,1266,34799.46,4,5,High,High,4.6
27411.0,1409,34027.9,4,5,High,High,4.6
81568.0,1323,34802.63,4,5,High,High,4.6
84138.0,1556,33366.8,4,5,High,High,4.6
57098.0,1404,32916.56,4,5,High,High,4.6
53816.0,1297,32794.03,4,5,High,High,4.6
13613.0,1462,36012.92,4,5,High,High,4.6
67966.0,1257,37920.47,4,5,High,High,4.6
84189.0,1377,34029.69,4,5,High,High,4.6
13677.0,1300,32400.45,4,5,High,High,4.6
84224.0,1508,36382.21,4,5,High,High,4.6
11475.0,1542,32231.26,4,5,High,High,4.6
29443.0,1415,32425.14,4,5,High,High,4.6
57313.0,1281,36553.8,4,5,High,High,4.6
29448.0,1379,32980.77,4,5,High,High,4.6
81295.0,1505,32610.07,4,5,High,High,4.6
1214.0,1589,36558.28,4,5,High,High,4.6
100593.0,1305,36949.5,4,5,High,High,4.6
54495.0,1279,32225.44,4,5,High,High,4.6
83036.0,1589,33597.49,4,5,High,High,4.6
39388.0,1318,33810.43,4,5,High,High,4.6
12470.0,1444,34289.5,4,5,High,High,4.6
39483.0,1448,34408.56,4,5,High,High,4.6
12709.0,1370,34105.42,4,5,High,High,4.6
27971.0,1452,33247.58,4,5,High,High,4.6
100796.0,1369,31762.38,4,5,High,High,4.6
38984.0,1322,39228.91,4,5,High,High,4.6
12738.0,1397,31985.54,4,5,High,High,4.6
39495.0,1328,31393.86,4,5,High,High,4.6
55964.0,1291,33004.39,4,5,High,High,4.6
12782.0,1392,33624.54,4,5,High,High,4.6
38982.0,1348,34394.35,4,5,High,High,4.6
28641.0,1384,32922.29,4,5,High,High,4.6
28656.0,1476,36473.38,4,5,High,High,4.6
56239.0,1405,31233.43,4,5,High,High,4.6
12831.0,1377,37194.04,4,5,High,High,4.6
28692.0,1429,31920.55,4,5,High,High,4.6
12197.0,1482,36340.03,4,5,High,High,4.6
12190.0,1268,36834.48,4,5,High,High,4.6
68378.0,1348,32340.62,4,5,High,High,4.6
28744.0,1459,32682.95,4,5,High,High,4.6
12164.0,1341,32140.54,4,5,High,High,4.6
54983.0,1526,31309.16,4,5,High,High,4.6
56087.0,1424,32611.14,4,5,High,High,4.6
82313.0,1375,36980.24,4,5,High,High,4.6
28845.0,1421,30555.06,4,5,High,High,4.6
21087.0,1492,34377.22,4,5,High,High,4.6
100613.0,1265,35662.36,4,5,High,High,4.6
11426.0,1491,35000.89,4,5,High,High,4.6
100223.0,1295,35330.06,4,5,High,High,4.6
100171.0,1352,32871.5,4,5,High,High,4.6
86161.0,1528,34853.95,4,5,High,High,4.6
26542.0,1409,35434.16,4,5,High,High,4.6
52808.0,1309,30474.97,4,5,High,High,4.6
30197.0,1589,34399.28,4,5,High,High,4.6
20710.0,1341,33081.61,4,5,High,High,4.6
30200.0,1255,34473.2,4,5,High,High,4.6
10695.0,1524,36550.53,4,5,High,High,4.6
38289.0,1250,30981.89,4,5,High,High,4.6
79999.0,1292,34288.15,4,5,High,High,4.6
79971.0,1412,33883.55,4,5,High,High,4.6
85898.0,1364,33222.13,4,5,High,High,4.6
52738.0,1442,31768.3,4,5,High,High,4.6
99693.0,1264,30727.18,4,5,High,High,4.6
48788.0,1272,32960.78,4,5,High,High,4.6
52587.0,1277,35195.6,4,5,High,High,4.6
14277.0,1507,34885.11,4,5,High,High,4.6
86266.0,1537,32373.88,4,5,High,High,4.6
