account,transaction,income_count,expense_count
8197,-2464.85,0,125
71642,-2039.45,0,97
WINE_BAR,139731.0,12623,0
69266,-2168.150000000003,0,181
71642,53.0,10,0
35212,-2491.0100000000016,0,153
20076,-2311.15,0,148
46330,84.45,17,0
71899,-1929.0800000000013,0,141
11762,-2141.6500000000005,0,164
92552,-1818.4200000000005,0,94
19245,-2725.93,0,185
37913,-1435.2200000000003,0,96
37913,178.5,29,0
62989,-1945.1500000000003,0,104
88637,-2309.34,0,131
86355,-1667.2900000000009,0,107
40207,-1631.3600000000006,0,101
96671,-2665.0600000000004,0,136
30179,-2353.45,0,134
39111,-1927.4300000000012,0,150
63779,-1593.1500000000003,0,115
9323,-2499.7100000000005,0,85
81220,-3048.87,0,117
9323,13.45,3,0
26316,-2595.22,0,98
5347,-2789.2799999999997,0,120
ELECTRONICS_SHOP,19836.0,130,0
92185,-1521.0200000000004,0,112
7170,-1835.0300000000004,0,138
49505,-2138.2899999999995,0,147
97171,-1576.01,0,113
40054,-2006.1200000000006,0,115
97171,103.75,19,0
76258,-1832.0800000000006,0,135
RESTAURANT,247972.4400000001,7126,0
63924,-1759.7499999999998,0,81
40054,193.15,32,0
5164,-3116.6800000000007,0,110
14894,-3298.3300000000013,0,95
25778,-2457.100000000001,0,93
87528,-2394.1600000000003,0,125
LOCAL_PUB,222444.91999999943,6350,0
LUNCH_PLACE,51199.0,11657,0
90218,-2094.8600000000006,0,87
1828,-2178.7700000000013,0,130
62065,-2373.45,0,86
89210,-3554.1699999999996,0,118
69941,-2064.4399999999996,0,184
48233,-1296.33,0,94
94622,137.0,23,0
16249,-1435.2900000000013,0,195
75715,-3291.0600000000027,0,190
20575,-2409.6600000000003,0,156
85529,-1800.63,0,125
26695,109.5,17,0
59294,-2431.4500000000003,0,144
32521,-2343.84,0,187
35709,-2475.0600000000013,0,172
82519,-3538.4799999999996,0,115
FASHION_SHOP,277110.0,2408,0
86899,-2149.480000000001,0,196
94388,-1461.6400000000006,0,140
86899,157.4,26,0
89061,-1795.5300000000007,0,152
99102,-2331.2000000000007,0,122
22141,-2404.180000000001,0,127
99102,157.48000000000002,24,0
62907,-2796.9700000000003,0,111
44974,-2148.140000000001,0,140
FASHIONABLE_SPORTSWARE_SHOP,26129.0,352,0
23613,-4491.530000000001,0,105
35709,170.8,31,0
25630,-1539.4500000000016,0,190
96941,-1863.750000000001,0,123
SCHOOL_SUPPLY_STORE,86853.0,1610,0
1730,-1562.9900000000007,0,165
79518,-1641.7800000000013,0,189
47645,-2237.560000000001,0,109
68657,-5184.909999999999,0,95
88448,-1794.8600000000006,0,128
LOCAL_BOOKSHOP,32551.0,2608,0
60284,-2326.7100000000014,0,209
11202,-1398.4000000000015,0,196
76002,-1752.8200000000002,0,159
43870,-2356.210000000002,0,191
30041,-1986.5700000000008,0,116
65883,-1440.1399999999999,0,80
68078,-1577.020000000001,0,163
65883,120.15,22,0
5174,-1881.1700000000014,0,159
44380,-2177.12,0,167
25807,-2103.05,0,138
63478,-1229.9499999999998,0,97
25807,139.75,23,0
11988,-1267.2100000000003,0,136
75661,-1800.4300000000019,0,175
54117,-1881.3799999999999,0,122
62387,-1681.4300000000005,0,147
55042,-1919.4300000000007,0,111
23486,-2168.6800000000003,0,118
13219,-2269.810000000002,0,195
36833,-1881.1800000000005,0,108
TRAINER_SHOP,27856.0,380,0
37223,-2155.610000000001,0,135
44133,-1856.6100000000026,0,186
BOOKSHOP,33505.0,2674,0
97670,-1357.3699999999997,0,112
99691,-2126.580000000001,0,149
48465,-1953.460000000001,0,171
95294,-1632.910000000002,0,173
84041,-1963.8300000000022,0,204
11494,-1936.03,0,129
79769,-2248.980000000001,0,128
29810,-2120.3199999999997,0,131
84579,-2264.690000000002,0,214
16155,-1999.2300000000014,0,171
39252,-1753.8700000000001,0,83
16155,61.199999999999996,11,0
KIDS_ACTIVITY_CENTRE,87064.0,1580,0
16779,-1968.6400000000006,0,160
35034,-3167.2,0,128
55699,-2369.2600000000007,0,185
51810,-2202.1800000000003,0,129
47961,-2151.1200000000026,0,194
76810,210.39000000000001,29,0
46740,-2850.040000000002,0,122
98225,-1653.0400000000031,0,162
11171,-2142.1400000000017,0,212
61950,-2620.9700000000003,0,115
81366,198.01,35,0
35013,-1900.0500000000013,0,178
51087,-1584.5300000000004,0,149
83457,-2368.6900000000005,0,107
7472,-3020.260000000001,0,179
87814,-1518.1800000000005,0,103
45355,-1488.3300000000008,0,119
88707,-1471.33,0,106
VIDEO_GAME_STORE,69155.0,1740,0
CLOTHES_SHOP,272258.0,2393,0
23700,-2369.42,0,105
TAKEAWAY_CURRY,218784.2899999993,6309,0
79304,-2585.24,0,109
TECH_SHOP,21397.0,136,0
35781,-2766.35,0,150
50477,-1383.4800000000005,0,122
93167,-1307.8700000000008,0,117
78828,-1577.3400000000001,0,105
40926,-1668.9200000000003,0,115
11813,-1528.02,0,115
16475,-1900.8200000000002,0,124
19800,81.15,15,0
56384,-2579.9200000000005,0,97
48479,-1778.4000000000003,0,197
100934,-2216.51,0,126
NERDY_BOOK_STORE,26896.0,2485,0
48200,-2443.040000000001,0,154
20840,-2427.610000000001,0,132
48200,75.35000000000001,15,0
48764,-1817.7700000000007,0,123
39218,-1925.19,0,116
88863,-2704.790000000002,0,170
38214,-1728.9000000000008,0,183
51162,-2785.32,0,95
WHISKEY_BAR,140096.5,12588,0
23428,-1691.9800000000005,0,110
44472,-2512.2800000000007,0,92
PET_TOY_SHOP,17196.0,881,0
8982,-2305.9300000000007,0,88
51162,94.07,12,0
32075,-1838.6700000000003,0,131
DVD_SHOP,42057.0,6578,0
73526,-2044.7200000000016,0,188
CHILDRENDS_SHOP,90662.0,1659,0
45712,-2417.809999999999,0,111
31817,-2430.61,0,124
50618,-2172.6300000000006,0,146
72587,-2044.1700000000005,0,87
88786,98.9,16,0
50706,-2764.970000000001,0,156
65913,-1821.2000000000003,0,128
49386,-3053.000000000002,0,137
22204,95.0,15,0
58427,-2284.4500000000003,0,151
43489,-1954.3700000000003,0,107
44768,-1592.7600000000002,0,124
23637,-1878.6600000000005,0,149
59298,-1552.3700000000006,0,107
30760,-2880.1900000000023,0,191
GAME_SHOP,71863.0,1782,0
77380,-2557.1700000000005,0,222
5261,-1725.4899999999998,0,105
63045,-3077.4099999999994,0,163
57888,-1623.7500000000002,0,93
5261,144.2,26,0
65197,-1592.1700000000008,0,173
79518,74.55,12,0
87330,-1464.0600000000006,0,115
57888,99.9,18,0
16615,-1329.98,0,72
23909,-1606.6600000000008,0,104
53494,-2376.790000000002,0,174
57433,-2126.6800000000017,0,180
56327,-1287.2300000000005,0,112
39027,-2313.639999999999,0,114
17608,-2299.2200000000007,0,209
17411,126.50000000000001,24,0
72248,-2897.38,0,104
13226,-1523.54,0,100
1018,-1428.1900000000005,0,90
INDIAN_RESTAURANT,25554.239999999983,749,0
41000,-1549.5300000000002,0,116
45331,-2546.100000000001,0,236
98238,-2141.6000000000017,0,172
63615,-2023.66,0,152
94157,-2125.420000000001,0,108
11431,109.4,19,0
23047,-3736.2699999999995,0,97
15896,-2739.2999999999993,0,190
23727,-2459.9900000000034,0,261
25253,-2085.5300000000025,0,166
50481,-1278.4300000000005,0,165
94358,-2025.4600000000005,0,163
49782,-2135.9,0,114
54397,-1684.7200000000014,0,172
34969,-1299.9700000000005,0,84
1931,-1614.720000000001,0,173
100690,-2013.8100000000022,0,209
68580,-1893.3000000000013,0,131
35158,-2373.600000000001,0,100
33284,-2820.38,0,154
20801,-2208.9700000000016,0,217
98468,-2905.200000000001,0,171
66821,-1587.8400000000004,0,125
83810,-1596.6100000000008,0,132
24252,-2771.1500000000005,0,189
87599,-1745.7200000000007,0,148
51294,-1585.3700000000003,0,112
17487,-1311.9699999999998,0,149
64608,-2139.8900000000003,0,96
45219,-1799.51,0,133
19015,-1654.93,0,130
26568,-2331.090000000001,0,222
4832,-1865.5900000000006,0,122
26568,132.68,20,0
97898,-1768.37,0,137
42196,-1772.0800000000004,0,130
41304,-2049.120000000001,0,133
97810,-2102.2400000000002,0,170
19207,-1580.5200000000018,0,162
73963,34.5,5,0
92415,-2692.909999999999,0,191
31509,-1616.1600000000014,0,118
5501,-3109.359999999999,0,135
91387,-2267.710000000001,0,132
37272,-1553.8600000000001,0,96
74148,99.0,17,0
67591,-1407.340000000001,0,163
COCKTAIL_BAR,136114.0,12331,0
44491,-1487.0500000000002,0,110
67591,153.69000000000003,20,0
20089,-1450.2300000000002,0,185
87118,-2106.240000000002,0,194
85885,-1240.6000000000006,0,81
1505,-1649.5400000000006,0,130
87954,-2005.2200000000005,0,126
92283,-2596.520000000002,0,228
98543,-1830.7600000000018,0,164
31749,-1875.3400000000008,0,101
39233,-1757.01,0,88
42704,180.7,29,0
5890,-1414.3899999999999,0,107
89619,-2107.9099999999994,0,146
4265,-2224.42,0,133
44107,-2404.1200000000003,0,111
39467,-1156.4399999999998,0,78
63669,-2925.480000000001,0,222
13225,-1717.8200000000002,0,86
57657,-3497.7199999999993,0,92
48473,-1881.18,0,109
11563,-2076.5700000000006,0,130
6315,-2005.1500000000003,0,136
4171,-1147.32,0,59
6315,149.0,25,0
57668,-2133.8800000000006,0,149
56083,-1982.1100000000006,0,133
50933,-2197.930000000001,0,218
44488,97.0,16,0
24575,-1868.4400000000028,0,185
23387,-2167.8300000000013,0,194
30643,-2376.6600000000008,0,132
RUNNING_SHOP,27331.0,363,0
73017,-2674.7799999999993,0,122
DIY_STORE,25988.0,563,0
34123,-2104.450000000001,0,157
87549,-2283.8800000000006,0,151
34123,141.66,26,0
75108,-1611.3200000000002,0,108
23387,268.0,42,0
64292,-1721.7400000000023,0,161
79147,-2355.5900000000015,0,192
2779,-2108.4600000000014,0,164
48950,-2122.07,0,137
24778,-1985.7000000000003,0,114
33732,-1977.0600000000022,0,199
37688,-2347.15,0,150
55986,-3087.4599999999996,0,168
19744,-1520.750000000002,0,171
26447,-2549.35,0,136
70814,-2228.5900000000015,0,147
15975,-2271.2700000000013,0,172
44155,-2739.109999999999,0,120
94420,-2287.2300000000005,0,95
44155,126.0,21,0
COOKSHOP,23626.0,1354,0
2126,-1878.5600000000004,0,125
39498,-1421.0200000000002,0,85
51221,-1832.4200000000005,0,122
78049,-2364.8900000000003,0,176
80606,-2225.970000000003,0,206
6097,-3176.2899999999995,0,108
89974,-5065.659999999999,0,106
51059,-1266.7400000000002,0,101
75941,-1336.86,0,127
24032,-2915.150000000001,0,81
96804,-3018.980000000002,0,167
85958,-2113.81,0,111
64658,-2238.1400000000003,0,120
13822,-1619.55,0,92
62701,-1687.2100000000016,0,192
47269,111.45000000000002,21,0
11971,-2888.8700000000013,0,116
21222,-2632.5200000000023,0,196
25168,-2167.38,0,104
HOME_IMPROVEMENT_STORE,26766.0,556,0
24731,-2361.110000000002,0,149
17098,-1627.0700000000004,0,106
13311,-2866.990000000002,0,169
50031,-1690.7800000000004,0,107
82572,-1979.0400000000002,0,120
14190,-1926.9800000000005,0,141
53016,-2188.61,0,88
6829,-1629.1400000000008,0,144
7018,-2222.88,0,94
PET_SHOP,17449.0,900,0
10300,-2848.610000000001,0,100
78056,-3365.8399999999997,0,127
CHINESE_TAKEAWAY,222975.15999999922,6316,0
98271,-1829.8800000000024,0,152
93372,-2932.0800000000013,0,264
91147,-1525.67,0,116
78668,-1644.8,0,88
55467,-1137.5899999999997,0,94
74027,-1666.5200000000004,0,118
29460,-2362.480000000001,0,230
83041,-1710.300000000001,0,215
36501,-1970.0900000000017,0,185
20756,-2852.38,0,168
63070,-1198.9,0,64
48530,-1178.2800000000004,0,98
29305,-1627.200000000001,0,128
100658,-1991.2200000000003,0,111
45549,-1742.3200000000006,0,194
80895,-2274.5600000000004,0,162
42551,-1965.5600000000004,0,102
56235,-2609.05,0,170
48058,-2346.8700000000013,0,193
21775,-2133.61,0,108
48058,61.7,13,0
2214,-2053.330000000001,0,130
46870,134.9,22,0
85153,-2278.09,0,91
6048,-2465.89,0,122
85153,24.5,4,0
17624,-2434.480000000002,0,167
21112,-1501.63,0,110
19570,-1629.23,0,119
67017,-2564.1100000000006,0,114
85755,-2086.170000000001,0,115
19884,-1824.2500000000018,0,173
46161,-2645.34,0,92
BUTCHERS,24284.0,1387,0
SECOND_HAND_BOOKSHOP,31935.0,2595,0
49658,-2578.77,0,95
57213,-2655.310000000001,0,153
88678,-1910.9300000000003,0,155
6842,-1583.8300000000002,0,134
27402,-1049.08,0,99
17143,-1673.7600000000007,0,101
47296,-1766.6899999999996,0,109
32706,-3089.8100000000004,0,144
47296,119.5,19,0
2778,-2363.2000000000016,0,171
58317,-2035.6500000000015,0,198
55655,-1448.1300000000012,0,90
G&T_BAR,140023.5,12578,0
64272,-3348.0499999999993,0,171
55655,75.15,13,0
95418,-1992.1000000000008,0,86
77446,-3696.0499999999993,0,125
51872,-1663.1600000000028,0,170
46234,-2138.55,0,76
38429,-1706.7100000000003,0,144
33899,-1872.270000000002,0,215
78177,-1932.5500000000004,0,93
46234,93.5,14,0
52955,-1889.2700000000002,0,99
6782,-1658.5100000000002,0,144
86227,-1290.23,0,99
GREENGROCER,224751.80999999942,10315,0
24095,-1775.3700000000013,0,186
57655,-3333.380000000001,0,158
13886,-1428.8500000000001,0,99
46343,-1574.0600000000013,0,151
74341,-1967.150000000002,0,169
12035,-2106.2800000000016,0,179
27641,-3584.06,0,97
70057,-1560.9,0,157
4518,-1742.8200000000006,0,109
4906,123.95,25,0
7680,-1310.53,0,100
89350,-1992.7500000000011,0,189
66759,-2519.6399999999994,0,191
43248,-2004.22,0,107
24903,-2506.080000000001,0,147
88151,-2523.9000000000015,0,173
85179,-1720.2300000000007,0,150
84132,-1869.440000000001,0,178
90576,-1394.4000000000003,0,113
84132,125.15,23,0
87108,-1766.490000000001,0,194
76947,-2135.410000000002,0,165
46580,-1463.7900000000004,0,113
55873,-1765.3000000000002,0,99
46847,-1726.720000000002,0,199
46983,-1565.620000000001,0,112
JEWLLERY_SHOP,7277.0,318,0
22229,-2628.3100000000018,0,147
10572,-1201.4300000000003,0,102
71631,-2220.7999999999997,0,131
55873,75.18,9,0
57204,-1522.9200000000005,0,122
90963,-1412.6100000000006,0,103
66642,-2281.17,0,105
70507,-2039.8200000000015,0,153
46578,-2911.4200000000023,0,169
58701,-2673.9,0,114
48853,-2727.420000000002,0,169
75414,-1686.1800000000019,0,168
75414,100.55,18,0
24278,-1992.07,0,152
63394,-1856.2500000000002,0,77
92284,-2074.4600000000014,0,96
50238,-1959.640000000001,0,140
83304,-3216.6200000000003,0,121
94432,-1406.4700000000018,0,149
9150,-1192.2800000000004,0,111
45017,-1133.2000000000003,0,72
49200,-2495.14,0,136
51671,-1886.210000000001,0,111
46993,-1752.1800000000017,0,213
55281,113.65,22,0
38659,-1918.68,0,168
92785,-2145.93,0,166
10356,-1869.9700000000018,0,185
16291,-2360.6900000000023,0,194
79891,-2040.0500000000006,0,170
95970,-2537.6500000000024,0,185
79891,153.0,26,0
67626,-2352.1100000000015,0,186
7373,-2235.620000000001,0,119
67626,186.2,31,0
56748,-1696.9200000000003,0,127
98159,-2131.2799999999997,0,112
95445,-2393.2600000000025,0,208
ACCESSORY_SHOP,7779.0,342,0
17169,-3645.06,0,141
28787,-3672.5100000000007,0,95
41707,-2563.79,0,173
53525,-1859.3500000000024,0,189
52881,-2439.14,0,167
74092,-1899.9299999999998,0,64
83578,-2713.29,0,110
74092,135.01,20,0
17526,-2452.7800000000016,0,182
95906,-1512.0100000000007,0,181
58910,-1804.1500000000005,0,126
9687,-1717.3800000000003,0,134
74346,-2147.49,0,125
7659,-2400.78,0,122
67532,-2619.2800000000007,0,174
10636,-1962.7300000000012,0,130
32649,-2604.439999999999,0,87
12407,-1606.780000000002,0,182
TAKEAWAY,224164.96000000022,6387,0
92540,-1825.1500000000017,0,168
92540,184.25,34,0
40716,-2516.7400000000002,0,137
94209,-2812.0399999999986,0,104
17413,-1261.1,0,99
57048,98.0,18,0
74075,-2276.9700000000007,0,108
89393,-4916.389999999999,0,131
74075,206.55,33,0
68720,-2102.0,0,154
5494,-2275.5400000000004,0,96
25835,203.37,29,0
72075,-1652.700000000001,0,174
55286,-1648.000000000001,0,178
36145,-3057.6200000000003,0,123
78197,-1768.230000000001,0,92
19566,-2346.67,0,144
71804,-1288.9900000000005,0,94
66807,-1994.1900000000019,0,203
8003,125.5,20,0
47734,-2391.28,0,97
13246,-2429.6099999999997,0,90
18840,-1966.4000000000005,0,129
78784,-2130.2600000000007,0,107
64241,-1354.4100000000014,0,151
30975,40.05,7,0
67160,-2068.010000000002,0,188
1697,-1852.4900000000018,0,209
67778,-2220.01,0,126
1697,225.02,34,0
63143,-1829.7500000000005,0,113
80448,-1691.3000000000013,0,160
78380,-1872.6900000000005,0,109
18199,-1946.450000000001,0,171
80512,-3848.2799999999997,0,132
8327,-1526.6900000000005,0,107
2984,-2006.97,0,116
74349,-1602.6400000000003,0,130
62106,-2144.6300000000006,0,153
74349,79.5,12,0
71199,-1705.2400000000005,0,161
15829,-1859.130000000001,0,165
15315,-1294.99,0,75
40735,-3219.1600000000003,0,231
45692,-1177.2300000000002,0,108
65178,-3168.9600000000005,0,148
KIDS_CLOTHING_SHOP,88240.0,1595,0
24954,-2149.0900000000024,0,187
21593,-2345.63,0,145
21593,117.71000000000001,20,0
60504,-1479.5400000000004,0,101
21385,-2561.2400000000002,0,178
93313,-2682.550000000001,0,138
63909,-2580.3000000000025,0,212
47078,-1958.4000000000005,0,148
40136,-1594.14,0,119
39937,-1911.5300000000002,0,142
38188,-1739.8200000000004,0,129
11568,-1610.9400000000003,0,95
17794,-1623.98,0,81
65870,-2258.610000000002,0,185
12290,-1764.45,0,97
90028,-1570.78,0,143
75897,-1842.6000000000006,0,163
89603,-2492.7099999999996,0,85
45039,-1222.9799999999998,0,128
1563,-2350.6700000000014,0,187
73591,-1088.8300000000002,0,162
41952,-1805.3400000000004,0,191
83984,-2271.63,0,155
7104,-1830.4800000000005,0,121
57799,-2619.38,0,129
88041,-3003.2500000000005,0,164
58450,-2278.3000000000006,0,163
38199,-2322.7000000000007,0,106
65581,-2767.750000000001,0,129
39504,186.6,33,0
53759,-1993.3600000000006,0,100
39841,-1793.110000000001,0,150
11182,-2095.8100000000004,0,175
65991,-1721.4600000000012,0,166
74446,-1503.9900000000007,0,120
28095,-1346.69,0,80
28095,248.10000000000002,28,0
13384,-2632.0300000000007,0,151
54340,-2055.160000000002,0,177
80508,-1896.7200000000007,0,114
81026,-1988.1700000000008,0,112
80508,143.65,26,0
51982,-2142.4100000000008,0,154
59036,-1628.0300000000002,0,113
15911,-1809.290000000001,0,204
95511,-1859.5900000000006,0,165
43675,-1677.3200000000002,0,126
27700,-1860.190000000001,0,158
11177,-2752.8900000000017,0,185
60242,-1799.5500000000004,0,75
53615,-2247.1800000000026,0,216
24597,128.65,23,0
38962,-2302.850000000001,0,125
27550,-2667.620000000001,0,111
95032,-3044.02,0,104
86256,-1808.6099999999997,0,101
95032,93.0,16,0
65929,-2264.9000000000024,0,184
38905,-1846.9000000000005,0,152
64181,-2441.9900000000002,0,147
36642,-1787.3400000000013,0,78
16425,-2569.5100000000007,0,142
99708,-1798.5500000000006,0,104
40602,70.5,11,0
40602,-1691.0200000000007,0,106
51861,-2858.5200000000004,0,150
16019,-2049.4300000000003,0,91
51861,171.15,29,0
22033,-2160.9000000000015,0,203
84945,-2112.430000000001,0,120
40321,-2487.2200000000016,0,234
73092,-2143.4,0,86
40321,113.95,16,0
55218,-2708.38,0,120
57564,-1316.1800000000003,0,98
51544,-1078.3500000000001,0,86
29312,-1815.74,0,100
51544,45.5,6,0
47515,-2103.460000000001,0,84
51787,-2074.3300000000004,0,95
29303,-2215.780000000001,0,133
4691,-2382.6699999999996,0,92
33121,-2332.3500000000004,0,242
20911,-2240.03,0,169
49261,-2004.7100000000003,0,159
27001,142.0,26,0
55112,-1834.0300000000018,0,173
73891,-1876.2400000000018,0,168
84959,-2209.6200000000003,0,114
84959,48.0,8,0
46986,-3473.9000000000015,0,179
34573,-2426.79,0,143
90764,-1820.090000000002,0,178
47699,-2093.300000000001,0,126
86519,-2385.0500000000006,0,156
62613,-1705.85,0,87
14146,132.5,23,0
98693,-2087.1899999999996,0,121
25307,-2849.4400000000005,0,128
53618,-1692.7,0,95
15239,-2231.250000000002,0,156
23714,-5258.71,0,182
15239,90.46000000000001,14,0
4717,-2861.9100000000008,0,183
24540,-2150.36,0,140
100493,-2596.02,0,172
1631,-1614.1400000000015,0,190
27649,-2902.040000000001,0,142
62863,-2870.9999999999995,0,142
13205,-2403.47,0,122
88373,-2183.3700000000003,0,77
13205,227.95000000000005,28,0
49531,-2585.1900000000023,0,169
73947,-1635.1400000000012,0,161
90958,-2951.979999999998,0,198
1369,102.5,18,0
52621,-2446.790000000001,0,109
28510,91.97000000000001,13,0
20381,-2311.0600000000004,0,103
20381,121.47,16,0
81845,-2185.380000000001,0,109
38353,55.5,9,0
95627,-2042.660000000002,0,168
15320,-2081.4900000000025,0,166
62069,-2163.16,0,132
95627,58.6,11,0
71531,-2495.160000000002,0,154
68656,-2698.250000000001,0,104
11096,-1576.1100000000006,0,192
76659,-1256.5000000000002,0,109
58144,-1782.9900000000014,0,178
83910,-2725.5900000000033,0,200
20764,-1905.2300000000023,0,185
3269,-1649.9100000000024,0,189
44892,-2055.3500000000017,0,168
25212,-2592.3300000000017,0,212
73837,-2754.1699999999996,0,158
22148,-1344.0800000000004,0,93
39860,284.37,41,0
49225,-1247.72,0,68
72164,-1684.67,0,106
30269,-1553.95,0,104
95243,-3319.7799999999993,0,144
SPORT_SHOP,25996.0,352,0
81637,-3046.4900000000007,0,140
6053,-2342.5600000000027,0,167
9518,-2179.12,0,117
25990,-1432.1500000000003,0,91
91684,-1842.3400000000026,0,192
83934,-4256.0599999999995,0,100
100927,-1581.7400000000007,0,121
25990,88.78,15,0
86320,-1613.2800000000013,0,156
74534,-2523.5400000000013,0,178
58961,-2139.6500000000024,0,230
21000,-2066.73,0,127
40454,-2248.740000000003,0,210
82980,-2144.980000000002,0,168
71204,-2221.9900000000002,0,151
5589,-1988.77,0,119
91686,-2023.2900000000002,0,136
53545,-2116.7700000000004,0,128
51292,-2376.8500000000026,0,164
31494,-3163.9700000000003,0,144
39543,-2924.6200000000017,0,210
3217,-2213.270000000001,0,140
28441,-1971.1700000000008,0,146
38476,-3183.9300000000003,0,124
18634,-2335.7100000000005,0,224
62384,-1640.270000000001,0,115
16588,-2490.650000000002,0,145
85030,-2355.52,0,95
88281,-1727.82,0,107
94438,-3083.42,0,138
50741,-2418.88,0,157
84632,-1402.7400000000011,0,136
52725,-1672.430000000001,0,180
23234,-2521.0600000000018,0,250
82181,-2795.0299999999997,0,167
35252,-1477.0500000000002,0,89
67968,-1584.9299999999998,0,121
92631,-2072.3999999999996,0,81
79386,-1437.5000000000002,0,91
39347,-2365.5200000000023,0,149
78033,-2115.9500000000003,0,131
49855,-2082.770000000001,0,207
39596,-2136.8900000000026,0,233
56976,-1423.97,0,101
32260,-1271.19,0,106
32260,103.55,12,0
4044,-1881.750000000003,0,148
88862,-2287.660000000001,0,202
96627,-1901.21,0,140
26475,-1461.7500000000002,0,110
72765,-2141.6200000000003,0,141
21364,102.6,18,0
68085,-1882.33,0,89
93932,-2231.98,0,81
35883,-1908.0199999999998,0,76
91436,-2253.580000000001,0,111
35883,80.0,11,0
91055,-3579.310000000001,0,183
49824,-2452.3800000000006,0,121
60597,-2119.83,0,107
50194,-1909.5600000000002,0,111
31502,-2003.5500000000015,0,210
19878,-2719.6600000000008,0,214
98332,-1788.8200000000002,0,114
59092,-2157.8300000000004,0,207
68979,-2862.21,0,143
38748,-1551.010000000001,0,195
15350,-2694.72,0,152
38748,184.65,34,0
50452,-1695.0400000000009,0,179
41032,-1576.490000000001,0,93
5338,-1795.7,0,91
78918,-2184.960000000001,0,153
91268,-2444.5600000000013,0,151
91906,-2492.3600000000015,0,172
38745,-1663.9100000000005,0,71
75771,-1987.68,0,99
27704,-1885.5400000000016,0,174
36044,312.79,30,0
20304,-1356.670000000001,0,162
41830,-2082.9500000000007,0,132
18365,-3145.06,0,113
99799,-2027.6900000000016,0,172
88598,-2431.34,0,119
41864,-2208.5200000000004,0,183
67152,-1751.8700000000003,0,83
52123,124.45,22,0
77237,-2413.7700000000004,0,139
51698,-1813.9800000000007,0,125
82647,-1751.82,0,56
29825,-1712.4500000000012,0,121
26374,-2419.29,0,128
71752,-1785.260000000001,0,138
9480,-1882.2300000000016,0,184
45292,-2067.8500000000013,0,162
66483,-1406.5700000000002,0,82
59791,-1568.0400000000004,0,88
66483,151.5,25,0
62457,-1626.88,0,101
55587,-1766.7000000000005,0,147
53354,-1332.01,0,76
77237,185.4,31,0
73344,-1883.6900000000005,0,130
82861,-2458.540000000001,0,152
5538,-2701.9000000000005,0,129
59923,-2434.480000000002,0,189
5538,191.35,32,0
79051,-2616.19,0,104
97468,141.55,23,0
47193,-2188.750000000002,0,192
90910,-1281.32,0,75
51066,-1953.4700000000005,0,167
5180,-1711.5999999999997,0,95
STEAK_HOUSE,25891.360000000004,752,0
1210,-1735.8000000000002,0,82
69670,181.15,32,0
37074,-1571.4700000000005,0,85
58881,-2267.3000000000034,0,172
9916,-1508.6700000000017,0,205
71288,-1641.96,0,90
36510,-1815.3900000000006,0,121
99238,-2674.939999999999,0,209
