from_totally_fake_account,Z-score_count,IQR_count,Isolation_Forest_count,Total_anomalies,risk_level
10659,11,136,119,266,medium-high-risk
10673,0,0,0,0,low-risk
10693,13,105,140,258,medium-high-risk
10694,0,0,0,0,low-risk
10695,12,140,162,314,medium-high-risk
10696,17,159,201,377,high-risk
10703,0,0,0,0,low-risk
10709,40,97,189,326,medium-high-risk
1071,18,94,129,241,medium-low-risk
10716,37,118,157,312,medium-high-risk
10724,0,0,0,0,low-risk
10727,0,0,0,0,low-risk
10730,0,0,0,0,low-risk
10740,12,103,134,249,medium-high-risk
10743,12,113,113,238,medium-low-risk
10744,0,0,0,0,low-risk
10747,0,0,0,0,low-risk
10748,0,0,0,0,low-risk
10764,0,0,0,0,low-risk
10765,12,138,134,284,medium-high-risk
1078,31,118,185,334,high-risk
1079,0,0,0,0,low-risk
10792,0,0,0,0,low-risk
10794,12,116,150,278,medium-high-risk
10806,0,0,0,0,low-risk
10813,32,141,180,353,high-risk
10819,22,119,148,289,medium-high-risk
10821,0,0,0,0,low-risk
10826,20,151,216,387,high-risk
10834,0,0,0,0,low-risk
10840,0,0,0,0,low-risk
10855,12,113,159,284,medium-high-risk
1086,21,143,206,370,high-risk
10864,0,0,0,0,low-risk
10866,35,146,178,359,high-risk
1087,18,75,125,218,medium-low-risk
10871,0,0,0,0,low-risk
10881,0,0,0,0,low-risk
10887,0,0,0,0,low-risk
10913,12,152,199,363,high-risk
10916,0,0,0,0,low-risk
10928,0,0,0,0,low-risk
1093,0,0,0,0,low-risk
10937,12,145,217,374,high-risk
10942,0,0,0,0,low-risk
10944,12,112,166,290,medium-high-risk
10963,12,96,150,258,medium-high-risk
10974,0,0,0,0,low-risk
10983,12,113,159,284,medium-high-risk
1099,0,0,0,0,low-risk
11000,0,0,0,0,low-risk
11005,0,0,0,0,low-risk
11008,12,95,124,231,medium-low-risk
11012,12,164,227,403,high-risk
11020,0,0,0,0,low-risk
11039,24,99,148,271,medium-high-risk
11054,17,81,129,227,medium-low-risk
11056,15,81,130,226,medium-low-risk
11057,10,147,255,412,high-risk
11066,0,0,0,0,low-risk
11092,0,0,0,0,low-risk
11096,22,100,143,265,medium-high-risk
11099,20,96,148,264,medium-high-risk
11100,12,116,139,267,medium-high-risk
11105,12,144,229,385,high-risk
11111,12,131,255,398,high-risk
11120,30,161,221,412,high-risk
11124,16,167,241,424,high-risk
1113,26,103,150,279,medium-high-risk
11131,0,0,0,0,low-risk
11133,12,102,123,237,medium-low-risk
11135,0,0,0,0,low-risk
11137,12,91,125,228,medium-low-risk
11143,24,122,172,318,medium-high-risk
11145,13,108,152,273,medium-high-risk
11151,0,0,0,0,low-risk
11156,0,0,0,0,low-risk
11163,14,115,133,262,medium-high-risk
11167,31,147,183,361,high-risk
11171,20,80,117,217,medium-low-risk
11177,12,181,247,440,high-risk
11182,24,141,186,351,high-risk
11183,12,129,164,305,medium-high-risk
11197,24,85,150,259,medium-high-risk
1120,12,105,197,314,medium-high-risk
11201,0,0,0,0,low-risk
11202,27,280,262,569,high-risk
11211,20,114,170,304,medium-high-risk
11213,26,131,206,363,high-risk
1122,12,110,117,239,medium-low-risk
11229,0,0,0,0,low-risk
11230,0,0,0,0,low-risk
11232,13,153,335,501,high-risk
11237,14,70,115,199,medium-low-risk
11239,12,181,272,465,high-risk
11244,0,0,0,0,low-risk
11248,0,0,0,0,low-risk
1125,16,94,127,237,medium-low-risk
11252,12,181,203,396,high-risk
11256,12,103,146,261,medium-high-risk
11261,0,0,0,0,low-risk
11267,0,0,0,0,low-risk
11303,46,146,204,396,high-risk
11307,0,0,0,0,low-risk
11310,0,0,0,0,low-risk
11314,11,142,158,311,medium-high-risk
11322,0,0,0,0,low-risk
11324,0,0,0,0,low-risk
11329,0,0,0,0,low-risk
1133,12,132,159,303,medium-high-risk
11343,15,109,144,268,medium-high-risk
11347,44,140,229,413,high-risk
11350,0,0,0,0,low-risk
11370,17,109,162,288,medium-high-risk
11379,12,149,198,359,high-risk
11382,25,123,214,362,high-risk
11383,0,0,0,0,low-risk
11387,0,0,0,0,low-risk
11396,0,0,0,0,low-risk
11401,20,141,168,329,medium-high-risk
11405,12,126,163,301,medium-high-risk
11406,0,0,0,0,low-risk
11416,0,0,0,0,low-risk
11417,12,110,188,310,medium-high-risk
1142,18,89,148,255,medium-high-risk
11420,39,119,188,346,high-risk
11421,31,106,173,310,medium-high-risk
11426,12,173,192,377,high-risk
11431,0,0,0,0,low-risk
11444,0,0,0,0,low-risk
11448,43,150,220,413,high-risk
11451,11,128,160,299,medium-high-risk
11454,13,120,142,275,medium-high-risk
11456,0,0,0,0,low-risk
11458,0,0,0,0,low-risk
11460,48,148,208,404,high-risk
11464,0,0,0,0,low-risk
11465,0,0,0,0,low-risk
11466,13,140,226,379,high-risk
11472,0,0,0,0,low-risk
11475,12,162,176,350,high-risk
1149,0,0,0,0,low-risk
11494,16,165,250,431,high-risk
11505,12,107,127,246,medium-high-risk
11545,0,0,0,0,low-risk
11550,46,77,321,444,high-risk
11554,0,0,0,0,low-risk
11559,12,126,176,314,medium-high-risk
11560,0,0,0,0,low-risk
11561,0,0,0,0,low-risk
11563,16,154,258,428,high-risk
11568,14,115,209,338,high-risk
11570,15,129,182,326,medium-high-risk
11577,16,93,137,246,medium-high-risk
11582,0,0,0,0,low-risk
11584,0,0,0,0,low-risk
1159,0,0,0,0,low-risk
11613,12,216,140,368,high-risk
11619,13,152,176,341,high-risk
11620,12,147,185,344,high-risk
11628,12,188,219,419,high-risk
11630,12,120,152,284,medium-high-risk
11636,21,90,132,243,medium-low-risk
1164,0,0,0,0,low-risk
11648,12,98,122,232,medium-low-risk
11655,0,0,0,0,low-risk
11662,12,152,194,358,high-risk
11672,0,0,0,0,low-risk
11673,12,104,69,185,medium-low-risk
11680,16,73,115,204,medium-low-risk
11683,12,92,133,237,medium-low-risk
1169,0,0,0,0,low-risk
11694,12,128,147,287,medium-high-risk
11714,0,0,0,0,low-risk
11722,0,0,0,0,low-risk
11729,12,150,196,358,high-risk
11730,0,0,0,0,low-risk
11734,12,117,147,276,medium-high-risk
11736,0,0,0,0,low-risk
1174,18,76,127,221,medium-low-risk
11742,11,96,97,204,medium-low-risk
11750,0,0,0,0,low-risk
11752,0,0,0,0,low-risk
11755,33,148,200,381,high-risk
11756,12,115,139,266,medium-high-risk
11757,0,0,0,0,low-risk
11762,26,224,181,431,high-risk
11765,15,127,186,328,medium-high-risk
11774,0,0,0,0,low-risk
11778,0,0,0,0,low-risk
11779,0,0,0,0,low-risk
11786,15,124,222,361,high-risk
1179,12,127,150,289,medium-high-risk
1180,12,152,115,279,medium-high-risk
11813,13,74,105,192,medium-low-risk
11821,17,160,203,380,high-risk
11822,12,73,79,164,medium-low-risk
11823,12,119,221,352,high-risk
11827,12,90,111,213,medium-low-risk
11834,0,0,0,0,low-risk
1184,0,0,0,0,low-risk
1186,39,145,206,390,high-risk
11872,12,111,123,246,medium-high-risk
11889,0,0,0,0,low-risk
1189,34,132,203,369,high-risk
11907,14,153,205,372,high-risk
11913,0,0,0,0,low-risk
11921,12,117,199,328,medium-high-risk
11926,12,125,159,296,medium-high-risk
11941,0,0,0,0,low-risk
11944,0,0,0,0,low-risk
11949,0,0,0,0,low-risk
11961,12,85,105,202,medium-low-risk
11964,19,140,195,354,high-risk
11965,12,113,125,250,medium-high-risk
11971,21,144,194,359,high-risk
11976,12,192,241,445,high-risk
11977,0,0,0,0,low-risk
11979,0,0,0,0,low-risk
11988,15,68,149,232,medium-low-risk
12001,12,78,112,202,medium-low-risk
12002,0,0,0,0,low-risk
12006,15,92,139,246,medium-high-risk
12013,0,0,0,0,low-risk
12015,0,0,0,0,low-risk
12020,0,0,0,0,low-risk
12026,14,74,125,213,medium-low-risk
12035,12,118,158,288,medium-high-risk
12037,0,0,0,0,low-risk
12048,12,138,149,299,medium-high-risk
12052,0,0,0,0,low-risk
12060,23,162,219,404,high-risk
12061,0,0,0,0,low-risk
12069,12,140,186,338,high-risk
12070,0,0,0,0,low-risk
12076,0,0,0,0,low-risk
12077,0,0,0,0,low-risk
12082,0,0,0,0,low-risk
12092,0,0,0,0,low-risk
12095,19,116,173,308,medium-high-risk
1210,12,72,101,185,medium-low-risk
12101,31,168,204,403,high-risk
12114,0,0,0,0,low-risk
12122,16,66,105,187,medium-low-risk
12125,0,0,0,0,low-risk
12127,12,107,212,331,high-risk
12139,0,0,0,0,low-risk
1214,12,160,187,359,high-risk
12141,0,0,0,0,low-risk
12144,25,132,170,327,medium-high-risk
12148,27,137,239,403,high-risk
12154,12,131,184,327,medium-high-risk
12160,0,0,0,0,low-risk
12162,0,0,0,0,low-risk
12164,12,120,164,296,medium-high-risk
12165,0,0,0,0,low-risk
1217,23,126,186,335,high-risk
12177,0,0,0,0,low-risk
12179,12,119,138,269,medium-high-risk
1218,0,0,0,0,low-risk
12182,20,108,190,318,medium-high-risk
12183,0,0,0,0,low-risk
12184,37,113,158,308,medium-high-risk
12185,0,0,0,0,low-risk
12190,12,145,157,314,medium-high-risk
12197,12,154,179,345,high-risk
12202,12,104,102,218,medium-low-risk
12229,28,127,172,327,medium-high-risk
12259,16,79,150,245,medium-high-risk
12270,0,0,0,0,low-risk
12271,0,0,0,0,low-risk
12285,0,0,0,0,low-risk
12290,24,155,191,370,high-risk
12301,0,0,0,0,low-risk
12302,0,0,0,0,low-risk
12316,20,138,242,400,high-risk
12329,12,146,204,362,high-risk
1233,0,0,0,0,low-risk
12332,0,0,0,0,low-risk
1234,12,146,193,351,high-risk
12351,12,121,125,258,medium-high-risk
12356,16,155,185,356,high-risk
12357,0,0,0,0,low-risk
12359,23,157,199,379,high-risk
12361,0,0,0,0,low-risk
12368,0,0,0,0,low-risk
12378,13,166,304,483,high-risk
1238,0,0,0,0,low-risk
12382,0,0,0,0,low-risk
12384,21,241,205,467,high-risk
12387,20,113,141,274,medium-high-risk
12391,14,115,147,276,medium-high-risk
12396,12,105,147,264,medium-high-risk
12403,12,101,144,257,medium-high-risk
12407,18,86,190,294,medium-high-risk
12420,0,0,0,0,low-risk
12424,12,160,201,373,high-risk
1243,0,0,0,0,low-risk
12430,0,0,0,0,low-risk
12435,37,139,190,366,high-risk
12443,12,95,116,223,medium-low-risk
12453,0,0,0,0,low-risk
12461,0,0,0,0,low-risk
12463,0,0,0,0,low-risk
12464,0,0,0,0,low-risk
12470,12,103,142,257,medium-high-risk
12478,23,134,185,342,high-risk
1248,0,0,0,0,low-risk
12501,12,141,168,321,medium-high-risk
12510,0,0,0,0,low-risk
12520,12,87,152,251,medium-high-risk
12525,12,157,193,362,high-risk
12542,38,130,254,422,high-risk
12543,0,0,0,0,low-risk
1255,11,110,201,322,medium-high-risk
12555,0,0,0,0,low-risk
1256,0,0,0,0,low-risk
12563,13,119,173,305,medium-high-risk
12568,12,103,136,251,medium-high-risk
1258,24,129,176,329,medium-high-risk
12585,12,120,158,290,medium-high-risk
12611,0,0,0,0,low-risk
12630,12,104,156,272,medium-high-risk
12635,0,0,0,0,low-risk
12637,0,0,0,0,low-risk
12649,32,146,195,373,high-risk
1265,0,0,0,0,low-risk
12650,12,85,104,201,medium-low-risk
12652,12,131,215,358,high-risk
12658,34,133,172,339,high-risk
12665,12,147,169,328,medium-high-risk
12669,0,0,0,0,low-risk
12673,35,133,152,320,medium-high-risk
12679,0,0,0,0,low-risk
12688,0,0,0,0,low-risk
1269,0,0,0,0,low-risk
12692,0,0,0,0,low-risk
12695,12,156,140,308,medium-high-risk
12699,12,94,124,230,medium-low-risk
12706,0,0,0,0,low-risk
12709,12,158,202,372,high-risk
12714,0,0,0,0,low-risk
12715,0,0,0,0,low-risk
12716,0,0,0,0,low-risk
12728,12,172,180,364,high-risk
12733,50,240,339,629,high-risk
12738,12,114,161,287,medium-high-risk
12740,0,0,0,0,low-risk
12750,0,0,0,0,low-risk
12753,0,0,0,0,low-risk
12774,12,190,239,441,high-risk
12781,23,144,239,406,high-risk
12782,12,146,197,355,high-risk
12799,0,0,0,0,low-risk
12800,23,112,177,312,medium-high-risk
12805,0,0,0,0,low-risk
12812,0,0,0,0,low-risk
12818,11,105,131,247,medium-high-risk
12826,0,0,0,0,low-risk
12831,12,167,179,358,high-risk
12834,0,0,0,0,low-risk
12838,0,0,0,0,low-risk
12840,0,0,0,0,low-risk
12846,0,0,0,0,low-risk
12847,0,0,0,0,low-risk
1285,0,0,0,0,low-risk
12853,0,0,0,0,low-risk
12857,0,0,0,0,low-risk
12870,0,0,0,0,low-risk
12872,0,0,0,0,low-risk
12873,0,0,0,0,low-risk
12885,0,0,0,0,low-risk
12886,0,0,0,0,low-risk
12899,0,0,0,0,low-risk
12900,0,0,0,0,low-risk
12903,12,117,156,285,medium-high-risk
12913,55,155,258,468,high-risk
12929,12,116,230,358,high-risk
12935,12,121,153,286,medium-high-risk
12944,0,0,0,0,low-risk
12947,0,0,0,0,low-risk
12950,0,0,0,0,low-risk
12953,0,0,0,0,low-risk
12964,12,100,125,237,medium-low-risk
12971,42,159,186,387,high-risk
12977,0,0,0,0,low-risk
12984,0,0,0,0,low-risk
12985,0,0,0,0,low-risk
12988,26,163,233,422,high-risk
1299,18,170,211,399,high-risk
12993,12,114,173,299,medium-high-risk
12995,0,0,0,0,low-risk
13001,21,110,289,420,high-risk
13003,0,0,0,0,low-risk
13009,0,0,0,0,low-risk
13016,0,0,0,0,low-risk
13019,13,66,94,173,medium-low-risk
13022,0,0,0,0,low-risk
13023,13,79,131,223,medium-low-risk
1304,12,98,129,239,medium-low-risk
13044,0,0,0,0,low-risk
13047,28,136,183,347,high-risk
13054,36,198,284,518,high-risk
13055,12,99,236,347,high-risk
13069,34,210,322,566,high-risk
13072,12,157,252,421,high-risk
1309,12,132,152,296,medium-high-risk
13100,15,166,205,386,high-risk
13101,0,0,0,0,low-risk
13105,0,0,0,0,low-risk
13109,0,0,0,0,low-risk
1311,0,0,0,0,low-risk
13126,0,0,0,0,low-risk
13132,0,0,0,0,low-risk
13133,12,87,128,227,medium-low-risk
13137,0,0,0,0,low-risk
13148,23,200,166,389,high-risk
13152,14,107,231,352,high-risk
13160,0,0,0,0,low-risk
13165,12,146,178,336,high-risk
13174,21,125,167,313,medium-high-risk
13198,0,0,0,0,low-risk
13205,12,139,184,335,high-risk
13219,12,266,294,572,high-risk
13225,17,83,146,246,medium-high-risk
13226,12,112,190,314,medium-high-risk
1323,15,140,208,363,high-risk
1324,0,0,0,0,low-risk
13243,39,132,186,357,high-risk
13246,12,142,164,318,medium-high-risk
13252,13,135,176,324,medium-high-risk
13270,14,126,184,324,medium-high-risk
13273,28,131,168,327,medium-high-risk
13278,12,151,172,335,high-risk
13285,0,0,0,0,low-risk
13296,0,0,0,0,low-risk
13299,19,119,165,303,medium-high-risk
13301,0,0,0,0,low-risk
13309,0,0,0,0,low-risk
13311,22,253,173,448,high-risk
13319,0,0,0,0,low-risk
1332,0,0,0,0,low-risk
13326,0,0,0,0,low-risk
13344,12,156,202,370,high-risk
13357,0,0,0,0,low-risk
13372,22,105,179,306,medium-high-risk
13375,29,157,246,432,high-risk
13383,0,0,0,0,low-risk
13384,12,158,202,372,high-risk
13389,0,0,0,0,low-risk
13392,12,143,168,323,medium-high-risk
13393,0,0,0,0,low-risk
13395,0,0,0,0,low-risk
1340,0,0,0,0,low-risk
13417,0,0,0,0,low-risk
13421,0,0,0,0,low-risk
13429,12,124,178,314,medium-high-risk
13432,0,0,0,0,low-risk
13434,0,0,0,0,low-risk
13453,29,136,233,398,high-risk
13458,0,0,0,0,low-risk
13467,0,0,0,0,low-risk
13485,12,87,111,210,medium-low-risk
13488,0,0,0,0,low-risk
13495,0,0,0,0,low-risk
13502,12,139,252,403,high-risk
13508,24,136,199,359,high-risk
13531,0,0,0,0,low-risk
13532,0,0,0,0,low-risk
13536,12,93,106,211,medium-low-risk
13557,0,0,0,0,low-risk
1356,0,0,0,0,low-risk
1357,16,110,163,289,medium-high-risk
13571,0,0,0,0,low-risk
13601,0,0,0,0,low-risk
13609,0,0,0,0,low-risk
13610,0,0,0,0,low-risk
13611,12,154,167,333,high-risk
13613,12,155,195,362,high-risk
13615,0,0,0,0,low-risk
13616,0,0,0,0,low-risk
13624,0,0,0,0,low-risk
13626,0,0,0,0,low-risk
13633,21,112,147,280,medium-high-risk
13642,0,0,0,0,low-risk
13677,12,115,141,268,medium-high-risk
13681,0,0,0,0,low-risk
1369,0,0,0,0,low-risk
13690,16,125,187,328,medium-high-risk
13723,0,0,0,0,low-risk
13724,12,132,156,300,medium-high-risk
13736,0,0,0,0,low-risk
13738,12,99,170,281,medium-high-risk
13757,0,0,0,0,low-risk
13773,0,0,0,0,low-risk
13778,16,126,139,281,medium-high-risk
13798,13,153,208,374,high-risk
13807,0,0,0,0,low-risk
13808,12,126,145,283,medium-high-risk
1382,12,118,212,342,high-risk
13822,13,83,142,238,medium-low-risk
13824,30,106,166,302,medium-high-risk
13851,0,0,0,0,low-risk
13853,0,0,0,0,low-risk
13865,31,133,197,361,high-risk
13871,0,0,0,0,low-risk
13875,0,0,0,0,low-risk
13881,12,135,234,381,high-risk
13883,0,0,0,0,low-risk
13886,15,95,133,243,medium-low-risk
1390,0,0,0,0,low-risk
13903,20,149,198,367,high-risk
13904,37,118,209,364,high-risk
13927,15,81,130,226,medium-low-risk
1393,41,137,173,351,high-risk
13935,0,0,0,0,low-risk
13942,0,0,0,0,low-risk
13944,20,114,156,290,medium-high-risk
13946,0,0,0,0,low-risk
13977,14,163,198,375,high-risk
1399,12,144,156,312,medium-high-risk
13991,12,118,138,268,medium-high-risk
13993,24,104,146,274,medium-high-risk
13998,0,0,0,0,low-risk
14001,0,0,0,0,low-risk
14005,0,0,0,0,low-risk
14019,0,0,0,0,low-risk
14027,0,0,0,0,low-risk
14032,37,123,207,367,high-risk
14036,12,174,187,373,high-risk
14040,15,126,158,299,medium-high-risk
14056,0,0,0,0,low-risk
14069,12,188,127,327,medium-high-risk
14071,0,0,0,0,low-risk
14073,12,149,178,339,high-risk
14074,15,78,98,191,medium-low-risk
14083,0,0,0,0,low-risk
14084,20,146,213,379,high-risk
14087,0,0,0,0,low-risk
14097,16,89,165,270,medium-high-risk
1410,0,0,0,0,low-risk
14101,23,139,225,387,high-risk
14121,0,0,0,0,low-risk
14124,12,109,136,257,medium-high-risk
14135,12,138,233,383,high-risk
14139,12,122,175,309,medium-high-risk
14146,0,0,0,0,low-risk
14147,55,132,182,369,high-risk
14152,0,0,0,0,low-risk
14154,27,127,190,344,high-risk
14160,12,143,240,395,high-risk
14161,0,0,0,0,low-risk
14167,12,105,147,264,medium-high-risk
14177,0,0,0,0,low-risk
14179,20,101,153,274,medium-high-risk
14183,0,0,0,0,low-risk
